simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,72.0,31.0,11.0,19.01388888888889,5.0,3.0,128.70814043209873,12.709677419354838,3.4545454545454546
1,0.0,82.0,38.0,19.0,18.048780487804876,6.342105263157895,2.210526315789474,125.92444973230221,20.01454293628809,1.4293628808864265
2,0.0,70.0,14.0,5.0,12.757142857142858,5.142857142857143,2.6,74.41244897959184,9.551020408163266,1.04
3,0.0,76.0,26.0,7.0,13.394736842105264,3.5384615384615383,1.8571428571428572,102.23891966759004,6.479289940828402,0.9795918367346939
4,0.0,79.0,27.0,7.0,16.151898734177216,4.444444444444445,2.142857142857143,167.59717993911232,15.580246913580247,1.5510204081632655
5,0.0,73.0,26.0,10.0,17.986301369863014,6.538461538461538,2.7,125.6847438543817,19.63313609467455,2.61
6,0.0,75.0,24.0,5.0,15.453333333333333,5.083333333333333,2.8,129.2344888888889,11.243055555555555,1.3599999999999999
7,0.0,69.0,30.0,11.0,18.07246376811594,6.066666666666666,2.0,154.0092417559337,16.395555555555557,0.7272727272727273
8,0.0,74.0,27.0,10.0,18.027027027027028,6.185185185185185,2.9,202.78305332359386,23.928669410150892,3.29
9,0.0,75.0,32.0,13.0,16.8,7.34375,2.4615384615384617,141.38666666666666,25.2255859375,3.9408284023668636
10,0.0,65.0,26.0,7.0,20.29230769230769,5.153846153846154,3.4285714285714284,225.49917159763314,10.66863905325444,2.816326530612245
11,0.0,76.0,28.0,11.0,16.223684210526315,5.464285714285714,3.272727272727273,171.09470221606648,22.89158163265306,3.8347107438016534
12,0.0,73.0,32.0,15.0,18.63013698630137,4.5625,3.0,124.91799587164572,13.80859375,2.533333333333333
13,0.0,73.0,28.0,11.0,19.246575342465754,6.071428571428571,3.5454545454545454,136.37755676487146,24.566326530612248,4.6115702479338845
14,0.0,83.0,34.0,9.0,15.831325301204819,4.264705882352941,1.7777777777777777,105.1763681230948,9.488754325259514,1.0617283950617287
15,0.0,79.0,24.0,8.0,15.063291139240507,5.375,1.875,111.70485499118732,18.317708333333332,0.359375
16,0.0,72.0,32.0,13.0,19.666666666666668,6.4375,3.0,171.38888888888889,26.05859375,10.153846153846153
17,0.0,80.0,31.0,8.0,16.6125,6.67741935483871,2.75,181.78734375000005,23.50884495317378,1.9375
18,0.0,72.0,28.0,9.0,18.02777777777778,5.5,2.6666666666666665,147.22145061728395,15.535714285714286,2.888888888888889
19,0.0,79.0,37.0,13.0,19.974683544303797,5.5675675675675675,3.230769230769231,170.3284730011216,13.650840029218404,3.2544378698224845
20,0.0,81.0,18.0,7.0,14.802469135802468,7.055555555555555,3.142857142857143,152.28196921201038,25.05246913580247,1.551020408163265
21,0.0,77.0,29.0,8.0,17.83116883116883,5.862068965517241,2.125,124.7117557766908,14.946492271105827,1.109375
22,0.0,73.0,36.0,11.0,19.328767123287673,6.333333333333333,2.5454545454545454,121.75492587727531,17.722222222222225,2.2479338842975207
23,0.0,72.0,23.0,10.0,16.76388888888889,5.043478260869565,2.0,129.09702932098764,10.91115311909263,0.4
24,0.0,79.0,20.0,3.0,13.569620253164556,4.15,1.3333333333333333,108.77679858996954,10.3275,0.2222222222222222
25,0.0,80.0,24.0,12.0,14.75,5.333333333333333,1.75,133.9375,21.222222222222225,1.3541666666666667
26,0.0,78.0,34.0,13.0,18.333333333333332,4.352941176470588,2.5384615384615383,116.65811965811966,11.640138408304502,2.094674556213018
27,0.0,78.0,37.0,6.0,16.833333333333332,3.7837837837837838,1.5,137.65170940170944,7.737034331628926,0.5833333333333334
28,0.0,70.0,27.0,10.0,17.885714285714286,6.703703703703703,2.9,190.21551020408162,27.986282578875176,6.29
29,0.0,69.0,26.0,6.0,19.304347826086957,5.538461538461538,2.0,174.09577819785758,29.479289940828398,0.6666666666666666
30,0.0,74.0,32.0,10.0,18.094594594594593,5.0625,2.7,137.68024105186262,20.49609375,2.0100000000000002
31,0.0,70.0,26.0,10.0,18.314285714285713,6.269230769230769,2.2,170.81551020408168,27.504437869822482,0.9600000000000002
32,0.0,67.0,19.0,3.0,16.52238805970149,7.157894736842105,3.0,149.92114056582759,22.448753462603875,4.666666666666667
