simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,8.0,1.0,0.0,33.125,1.0,,366.609375,0.0,
1,0.1,9.0,3.0,0.0,36.55555555555556,2.6666666666666665,,210.91358024691357,5.555555555555556,
2,0.1,8.0,1.0,0.0,38.75,3.0,,128.9375,0.0,
3,0.1,9.0,2.0,0.0,36.77777777777778,4.0,,229.28395061728395,4.0,
4,0.1,9.0,0.0,0.0,32.55555555555556,,,371.13580246913574,,
5,0.1,9.0,1.0,0.0,31.0,7.0,,282.44444444444446,0.0,
6,0.1,9.0,3.0,0.0,45.333333333333336,5.333333333333333,,264.66666666666663,3.5555555555555554,
7,0.1,9.0,1.0,0.0,31.333333333333332,9.0,,305.1111111111111,0.0,
8,0.1,8.0,1.0,0.0,32.5,1.0,,113.0,0.0,
9,0.1,9.0,1.0,0.0,40.333333333333336,2.0,,308.6666666666667,0.0,
10,0.1,8.0,0.0,0.0,34.25,,,295.4375,,
11,0.1,8.0,1.0,0.0,44.625,2.0,,322.984375,0.0,
12,0.1,8.0,1.0,0.0,34.375,8.0,,127.234375,0.0,
13,0.1,9.0,1.0,0.0,33.55555555555556,12.0,,124.02469135802468,0.0,
14,0.1,9.0,1.0,0.0,37.333333333333336,8.0,,162.44444444444446,0.0,
15,0.1,8.0,1.0,0.0,37.875,11.0,,166.859375,0.0,
16,0.1,9.0,3.0,0.0,36.0,3.6666666666666665,,112.88888888888889,0.22222222222222224,
17,0.1,8.0,1.0,0.0,43.0,1.0,,304.0,0.0,
18,0.1,8.0,1.0,0.0,37.25,2.0,,86.6875,0.0,
19,0.1,7.0,1.0,0.0,34.57142857142857,7.0,,537.9591836734693,0.0,
20,0.1,8.0,4.0,0.0,41.875,5.75,,104.609375,20.1875,
21,0.1,9.0,1.0,0.0,28.666666666666668,4.0,,220.0,0.0,
22,0.1,9.0,2.0,0.0,41.77777777777778,9.5,,171.9506172839506,30.25,
23,0.1,9.0,1.0,0.0,28.77777777777778,2.0,,455.5061728395062,0.0,
24,0.1,8.0,1.0,0.0,29.875,10.0,,113.359375,0.0,
25,0.1,9.0,1.0,0.0,42.55555555555556,4.0,,240.91358024691357,0.0,
26,0.1,9.0,2.0,0.0,39.44444444444444,6.5,,34.02469135802469,12.25,
27,0.1,9.0,2.0,0.0,38.888888888888886,4.5,,160.98765432098764,0.25,
28,0.1,9.0,2.0,1.0,42.44444444444444,2.0,2.0,58.0246913580247,0.0,0.0
29,0.1,9.0,1.0,0.0,32.77777777777778,13.0,,136.6172839506173,0.0,
30,0.1,8.0,2.0,0.0,47.25,5.0,,297.9375,1.0,
31,0.1,9.0,1.0,0.0,38.888888888888886,4.0,,348.32098765432096,0.0,
32,0.1,8.0,1.0,0.0,34.75,3.0,,73.9375,0.0,
33,0.1,9.0,1.0,0.0,22.444444444444443,6.0,,160.2469135802469,0.0,
34,0.1,9.0,2.0,0.0,33.0,8.5,,280.8888888888889,12.25,
35,0.1,9.0,2.0,0.0,39.77777777777778,7.0,,82.39506172839506,25.0,
36,0.1,9.0,0.0,0.0,32.22222222222222,,,825.283950617284,,
37,0.1,9.0,2.0,0.0,43.44444444444444,3.0,,56.691358024691354,1.0,
38,0.1,9.0,1.0,0.0,32.666666666666664,1.0,,252.0,0.0,
39,0.1,8.0,0.0,0.0,29.625,,,270.234375,,
40,0.1,9.0,0.0,0.0,27.77777777777778,,,109.50617283950618,,
41,0.1,9.0,1.0,0.0,36.77777777777778,8.0,,358.3950617283951,0.0,
42,0.1,9.0,2.0,0.0,38.22222222222222,7.0,,169.06172839506175,4.0,
43,0.1,9.0,3.0,0.0,36.22222222222222,8.333333333333334,,162.6172839506173,6.222222222222221,
44,0.1,8.0,2.0,0.0,37.625,12.0,,357.984375,4.0,
45,0.1,9.0,1.0,0.0,43.111111111111114,1.0,,203.65432098765433,0.0,
46,0.1,8.0,1.0,0.0,33.875,3.0,,55.359375,0.0,
47,0.1,9.0,1.0,0.0,35.666666666666664,4.0,,346.0,0.0,
48,0.1,9.0,2.0,0.0,24.444444444444443,6.0,,123.35802469135804,1.0,
