simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,64.0,1.0,1.0,6.859375,33.0,3.0,176.620849609375,0.0,0.0
1,0.0,62.0,2.0,0.0,7.903225806451613,3.5,,113.47450572320497,0.25,
2,0.0,52.0,1.0,0.0,7.903846153846154,2.0,,202.89460059171597,0.0,
3,0.0,55.0,2.0,0.0,9.145454545454545,25.5,,262.16066115702483,132.25,
4,0.0,58.0,2.0,0.0,8.051724137931034,21.0,,289.7042211652795,25.0,
5,0.0,52.0,2.0,0.0,9.692307692307692,4.5,,159.9437869822485,6.25,
6,0.0,57.0,0.0,0.0,7.842105263157895,,,163.7119113573407,,
7,0.0,52.0,1.0,0.0,9.057692307692308,32.0,,331.05436390532543,0.0,
8,0.0,58.0,2.0,0.0,8.431034482758621,7.0,,146.55558858501783,1.0,
9,0.0,55.0,0.0,0.0,7.781818181818182,,,210.64330578512394,,
10,0.0,61.0,1.0,0.0,6.901639344262295,1.0,,164.8099973125504,0.0,
11,0.0,53.0,2.0,0.0,9.433962264150944,9.0,,193.7173371306515,16.0,
12,0.0,61.0,3.0,0.0,7.491803278688525,5.333333333333333,,132.57780166621876,6.222222222222222,
13,0.0,63.0,1.0,0.0,6.7936507936507935,2.0,,141.40186444948347,0.0,
14,0.0,65.0,0.0,0.0,7.046153846153846,,,100.96710059171598,,
15,0.0,59.0,1.0,0.0,8.11864406779661,1.0,,273.1215168055156,0.0,
16,0.0,58.0,0.0,0.0,7.293103448275862,,,238.27615933412602,,
17,0.0,64.0,1.0,0.0,6.796875,1.0,,150.224365234375,0.0,
18,0.0,69.0,0.0,0.0,6.492753623188406,,,100.22096198277673,,
19,0.0,62.0,2.0,1.0,8.564516129032258,12.0,1.0,162.69745057232052,9.0,0.0
20,0.0,62.0,0.0,0.0,7.080645161290323,,,159.0741415192508,,
21,0.0,56.0,1.0,0.0,8.428571428571429,19.0,,155.88775510204079,0.0,
22,0.0,68.0,0.0,0.0,6.382352941176471,,,121.55968858131489,,
23,0.0,50.0,1.0,0.0,8.48,24.0,,357.3295999999999,0.0,
24,0.0,72.0,2.0,0.0,6.402777777777778,12.0,,101.32388117283949,9.0,
25,0.0,48.0,3.0,0.0,9.979166666666666,17.333333333333332,,343.7703993055555,257.5555555555556,
26,0.0,51.0,1.0,0.0,8.529411764705882,1.0,,228.28835063437137,0.0,
27,0.0,55.0,0.0,0.0,7.909090909090909,,,203.0644628099174,,
28,0.0,55.0,4.0,0.0,9.545454545454545,9.25,,199.04793388429746,46.6875,
29,0.0,64.0,4.0,0.0,8.34375,8.75,,157.0693359375,6.6875,
30,0.0,63.0,3.0,0.0,7.444444444444445,3.6666666666666665,,129.26278659611995,3.555555555555556,
31,0.0,67.0,1.0,0.0,7.462686567164179,6.0,,107.1441300957897,0.0,
32,0.0,56.0,3.0,0.0,8.785714285714286,6.333333333333333,,185.73979591836732,1.5555555555555554,
33,0.0,56.0,0.0,0.0,8.285714285714286,,,161.52551020408166,,
34,0.0,59.0,1.0,0.0,7.830508474576271,9.0,,121.1916116058604,0.0,
35,0.0,47.0,2.0,0.0,10.382978723404255,7.0,,307.85332729741964,25.0,
36,0.0,61.0,2.0,0.0,8.131147540983607,8.5,,120.67132491265791,30.25,
37,0.0,60.0,1.0,0.0,7.7,12.0,,133.24333333333334,0.0,
38,0.0,70.0,0.0,0.0,6.4,,,127.61142857142859,,
39,0.0,50.0,0.0,0.0,9.82,,,310.98760000000004,,
40,0.0,63.0,3.0,0.0,8.19047619047619,5.666666666666667,,114.72562358276645,26.888888888888886,
41,0.0,63.0,1.0,0.0,7.095238095238095,2.0,,108.87981859410432,0.0,
42,0.0,62.0,0.0,0.0,7.790322580645161,,,183.71409989594173,,
43,0.0,61.0,1.0,1.0,7.147540983606557,9.0,3.0,89.89626444504164,0.0,0.0
44,0.0,69.0,1.0,0.0,7.0144927536231885,7.0,,110.04326822096199,0.0,
45,0.0,62.0,1.0,0.0,7.0,4.0,,194.41935483870967,0.0,
46,0.0,57.0,3.0,0.0,8.75438596491228,13.333333333333334,,200.18528778085567,124.22222222222221,
47,0.0,61.0,3.0,0.0,8.37704918032787,5.0,,177.21848965331898,14.0,
48,0.0,63.0,1.0,0.0,6.857142857142857,3.0,,153.39229024943307,0.0,
49,0.0,62.0,1.0,0.0,7.419354838709677,5.0,,117.88865764828303,0.0,
0,5.0,75.0,19.0,9.0,6.22011944870154,2.1800748203930103,0.7508589691585965,153.79374419591795,52.89313720206162,0.7452867602751942
1,5.0,69.0,11.0,3.0,7.424622390149296,1.3173410323533146,0.47072585423787433,104.64870063684108,1.984141668219795,0.11171030844829805
2,5.0,68.0,14.0,4.0,6.4542960864765675,0.8325412260102374,0.21400296688079834,163.60181563698282,0.19800667134114636,0.03491997044979911
3,5.0,66.0,13.0,8.0,7.943025931715965,4.398599899732149,0.5351959615945816,226.25602805388493,101.47841038956628,0.37145366727648876
4,5.0,66.0,19.0,11.0,7.279861829808039,2.72368371094528,0.2903001525185325,259.80080143499094,40.24386630082781,0.04442408819395914
5,5.0,63.0,18.0,6.0,8.383100415033008,0.9844213103254636,0.948116143544515,142.58228505058216,3.1370398949780043,0.20428435963662472
6,5.0,69.0,13.0,7.0,6.712823945974958,0.65219463293369,0.3035887820380075,142.55805374631052,0.21127470808367882,0.03572999095431163
7,5.0,63.0,17.0,3.0,7.71129737486915,2.356184822671554,0.2529689470926921,282.95874025749214,55.06364002297509,0.056209830726452824
8,5.0,64.0,13.0,6.0,7.912353630410507,1.7081827544249022,0.11053298165400822,135.908241296193,6.738410768660215,0.00343046896964053
9,5.0,68.0,8.0,0.0,6.563263741527301,0.6961338073015213,,176.98842902580643,0.6233112297386325,
10,5.0,73.0,22.0,8.0,6.20530400027151,0.5180641189217567,0.46306324005126953,142.03809025086434,0.16446529254518516,0.11857713303121287
11,5.0,66.0,13.0,10.0,7.946930423830494,1.9574142373525178,0.12908694744110108,167.01994397528006,11.630275012448578,0.009114746950177163
12,5.0,72.0,15.0,7.0,6.7354580125732655,1.6612621466318767,0.34303169165338787,118.64822950519147,4.942859724352917,0.17720849314787196
13,5.0,77.0,13.0,4.0,6.080640648673107,0.7996786511861361,0.3385040760040283,118.9238034774504,0.3449398266708957,0.09958865221148017
14,5.0,73.0,9.0,2.0,6.472627974536321,0.5479729837841458,0.2222433090209961,93.65406724285296,0.08030492002953372,0.016053475018452446
15,5.0,70.0,17.0,2.0,7.224143297757421,0.490056104519788,0.10453152656555176,235.33068856658116,0.11483131606165917,5.681546468849774e-05
16,5.0,67.0,11.0,5.0,6.475074227009691,0.6597648831931028,0.33243551254272463,210.77537780751183,0.173507958834369,0.06616797550444972
17,5.0,74.0,12.0,0.0,6.180699045644016,0.612913809978636,,134.0140960826849,0.27859817010916005,
18,5.0,79.0,8.0,0.0,6.0687764131381545,0.43385477364063263,,91.23306180320995,0.1002608724968963,
19,5.0,68.0,21.0,6.0,8.058389438425793,1.8186666867917491,0.43392638365427655,151.33225284402283,12.716057703780047,0.11513054568025734
20,5.0,66.0,10.0,6.0,6.832770665035103,0.5205916866660119,0.22013298670450845,150.9134716758634,0.145680074370405,0.016708676653586784
21,5.0,65.0,19.0,6.0,7.6889243121330555,1.6497156918048859,0.34360186258951825,142.56082765018422,17.050632155878883,0.06584586035009782
22,5.0,78.0,9.0,3.0,5.955983651563143,0.5102103352546692,0.3904985586802165,108.805865672548,0.12137716564051775,0.19388593776035476
23,5.0,59.0,8.0,11.0,7.51594905024868,3.783325619995594,0.41145756569775666,308.555797091979,62.94755542793757,0.08787911976847687
24,5.0,79.0,11.0,1.0,6.1660423275036145,2.6227540265430105,0.17335891723632812,96.61400768619309,21.34263061707028,0.0
25,5.0,57.0,16.0,6.0,8.77912612128676,3.7284456621855497,0.3123762607574463,300.6013013071898,92.32381633287143,0.1486979446213089
26,5.0,64.0,20.0,5.0,7.199007282964885,0.6188521154224873,0.2812967777252197,190.9637969575212,0.12898713110177226,0.06071585512569072
27,5.0,66.0,17.0,4.0,6.811610534109852,0.48429911627488975,0.1747768521308899,175.52610997816967,0.16687678529906969,0.0274771753293912
28,5.0,64.0,17.0,8.0,8.547915901275701,2.4160402627552258,0.19930674135684967,179.29670093181994,23.898575043821907,0.030213560637585735
29,5.0,72.0,14.0,5.0,7.643808500427339,2.9477650012288774,0.4774812698364258,144.73653510481705,15.275912885587076,0.10914873776113383
30,5.0,76.0,19.0,4.0,6.48090791073015,0.9645837294427972,0.2578529119491577,113.35784569853615,1.6222142069416656,0.03388467863881317
31,5.0,75.0,13.0,5.0,6.907509294748306,0.6946070790290833,0.2915701389312744,99.01771794021484,2.4127776420425726,0.08493995967029151
32,5.0,64.0,17.0,1.0,8.116473737638444,1.6370527086889042,0.3172149658203125,168.69800286293415,3.757086622227473,0.0
33,5.0,66.0,14.0,10.0,7.38708958402276,0.7397490654672895,0.29422452449798586,142.8207039871709,0.17755380010532806,0.06545046594926249
34,5.0,70.0,22.0,5.0,7.068121394461819,0.8207643766972151,0.2477848768234253,109.65487157784911,1.9913425109674299,0.035261825084730844
35,5.0,57.0,17.0,7.0,8.890455331914781,1.2124954825815033,0.24666753837040492,264.8616148914504,7.546279290074106,0.06152297776738268
