simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,9.0,0.0,0.0,28.666666666666668,,,282.22222222222223,,
1,0.1,9.0,1.0,0.0,29.333333333333332,3.0,,263.77777777777777,0.0,
2,0.1,9.0,2.0,0.0,29.666666666666668,2.5,,326.8888888888889,0.25,
3,0.1,9.0,1.0,0.0,29.0,1.0,,243.77777777777777,0.0,
4,0.1,9.0,1.0,0.0,37.888888888888886,1.0,,472.98765432098764,0.0,
5,0.1,8.0,2.0,0.0,32.125,2.0,,301.109375,1.0,
6,0.1,8.0,1.0,0.0,37.625,4.0,,582.484375,0.0,
7,0.1,8.0,1.0,0.0,34.5,8.0,,217.0,0.0,
8,0.1,9.0,1.0,0.0,31.11111111111111,5.0,,301.87654320987656,0.0,
9,0.1,9.0,2.0,0.0,43.666666666666664,7.5,,775.5555555555555,6.25,
10,0.1,9.0,0.0,0.0,31.11111111111111,,,491.432098765432,,
11,0.1,7.0,1.0,0.0,38.0,3.0,,295.7142857142857,0.0,
12,0.1,9.0,1.0,0.0,28.11111111111111,11.0,,421.4320987654321,0.0,
13,0.1,7.0,0.0,0.0,28.285714285714285,,,373.3469387755102,,
14,0.1,9.0,2.0,1.0,30.88888888888889,2.0,2.0,269.6543209876543,1.0,0.0
15,0.1,8.0,1.0,0.0,37.0,12.0,,132.5,0.0,
16,0.1,9.0,1.0,0.0,35.888888888888886,3.0,,180.98765432098764,0.0,
17,0.1,8.0,1.0,0.0,36.0,3.0,,156.0,0.0,
18,0.1,9.0,1.0,0.0,33.44444444444444,7.0,,734.9135802469135,0.0,
19,0.1,8.0,1.0,0.0,37.875,2.0,,674.109375,0.0,
20,0.1,9.0,2.0,0.0,37.333333333333336,10.0,,182.22222222222223,25.0,
21,0.1,9.0,0.0,0.0,41.44444444444444,,,264.2469135802469,,
22,0.1,8.0,2.0,1.0,35.125,3.0,5.0,202.359375,1.0,0.0
23,0.1,8.0,0.0,0.0,30.875,,,401.859375,,
24,0.1,8.0,0.0,0.0,27.25,,,274.1875,,
25,0.1,8.0,0.0,0.0,28.0,,,303.0,,
26,0.1,9.0,1.0,0.0,38.22222222222222,1.0,,158.61728395061726,0.0,
27,0.1,9.0,1.0,0.0,36.111111111111114,1.0,,264.5432098765432,0.0,
28,0.1,9.0,0.0,0.0,29.666666666666668,,,680.6666666666665,,
29,0.1,9.0,3.0,0.0,28.666666666666668,9.666666666666666,,296.44444444444446,4.222222222222222,
30,0.1,6.0,1.0,0.0,42.166666666666664,2.0,,238.1388888888889,0.0,
31,0.1,7.0,1.0,0.0,39.0,2.0,,402.2857142857143,0.0,
32,0.1,7.0,1.0,0.0,35.285714285714285,1.0,,205.9183673469388,0.0,
33,0.1,9.0,2.0,0.0,35.77777777777778,10.5,,287.5061728395062,0.25,
34,0.1,8.0,1.0,0.0,36.125,1.0,,595.859375,0.0,
35,0.1,9.0,2.0,0.0,43.111111111111114,5.5,,266.7654320987654,6.25,
36,0.1,8.0,2.0,0.0,43.375,2.5,,716.984375,2.25,
37,0.1,8.0,2.0,0.0,31.0,8.5,,430.25,56.25,
38,0.1,9.0,1.0,1.0,34.22222222222222,8.0,2.0,192.83950617283952,0.0,0.0
39,0.1,8.0,0.0,0.0,27.875,,,288.359375,,
40,0.1,9.0,2.0,0.0,36.333333333333336,7.5,,398.00000000000006,42.25,
41,0.1,8.0,0.0,0.0,30.25,,,1222.4375,,
42,0.1,9.0,1.0,0.0,34.666666666666664,3.0,,518.2222222222222,0.0,
43,0.1,9.0,0.0,0.0,28.88888888888889,,,134.76543209876544,,
44,0.1,9.0,1.0,0.0,31.444444444444443,14.0,,321.5802469135803,0.0,
45,0.1,9.0,3.0,0.0,37.44444444444444,6.333333333333333,,121.80246913580247,0.22222222222222224,
46,0.1,9.0,1.0,0.0,30.77777777777778,3.0,,206.17283950617283,0.0,
47,0.1,8.0,0.0,0.0,27.875,,,352.609375,,
48,0.1,9.0,1.0,0.0,29.555555555555557,2.0,,192.69135802469134,0.0,
49,0.1,9.0,0.0,0.0,25.77777777777778,,,214.39506172839506,,
0,0.2,15.0,1.0,0.0,24.2,10.0,,158.02666666666664,0.0,
1,0.2,18.0,5.0,0.0,26.5,10.4,,201.80555555555554,65.84,
2,0.2,17.0,1.0,0.0,24.823529411764707,4.0,,240.96885813148788,0.0,
3,0.2,17.0,2.0,0.0,27.529411764705884,8.0,,211.30795847750863,49.0,
4,0.2,16.0,1.0,0.0,24.0,17.0,,383.875,0.0,
5,0.2,18.0,3.0,1.0,25.555555555555557,3.3333333333333335,7.0,467.0246913580247,4.222222222222222,0.0
6,0.2,18.0,4.0,0.0,28.5,5.75,,310.69444444444446,16.1875,
7,0.2,19.0,2.0,0.0,20.105263157894736,14.5,,200.93628808864267,12.25,
8,0.2,17.0,3.0,0.0,25.41176470588235,3.3333333333333335,,110.35986159169549,0.22222222222222224,
9,0.2,16.0,2.0,0.0,30.5,8.5,,538.625,2.25,
10,0.2,18.0,4.0,0.0,25.72222222222222,8.0,,342.3117283950617,19.0,
11,0.2,18.0,5.0,0.0,27.72222222222222,5.8,,164.20061728395063,22.959999999999997,
12,0.2,17.0,2.0,0.0,27.764705882352942,5.0,,321.35640138408303,9.0,
