simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,61.0,15.0,4.0,14.0,4.266666666666667,1.25,125.93442622950819,13.662222222222223,0.1875
1,0.0,72.0,20.0,5.0,14.63888888888889,7.55,2.2,140.64737654320987,29.647499999999997,2.16
2,0.0,65.0,13.0,3.0,13.0,3.5384615384615383,1.6666666666666667,110.0923076923077,6.402366863905325,0.888888888888889
3,0.0,71.0,10.0,1.0,10.873239436619718,5.0,2.0,128.05435429478277,11.0,0.0
4,0.0,68.0,19.0,5.0,14.279411764705882,6.578947368421052,1.6,168.0836937716263,21.61218836565097,0.64
5,0.0,65.0,13.0,3.0,14.36923076923077,5.0,2.3333333333333335,175.34059171597636,10.461538461538462,0.8888888888888888
6,0.0,67.0,17.0,1.0,14.298507462686567,7.764705882352941,3.0,131.07507239919804,29.356401384083043,0.0
7,0.0,75.0,29.0,13.0,15.266666666666667,6.896551724137931,2.769230769230769,131.63555555555556,22.368608799048754,1.8698224852071006
8,0.0,69.0,21.0,3.0,12.855072463768115,5.0,4.0,115.5442134005461,13.238095238095237,2.6666666666666665
9,0.0,67.0,16.0,1.0,13.149253731343284,5.75,4.0,157.6195143684562,14.0625,0.0
10,0.0,69.0,23.0,5.0,14.565217391304348,5.6521739130434785,2.4,112.30371770636421,11.618147448015124,3.04
11,0.0,56.0,17.0,4.0,18.125,4.882352941176471,2.75,228.109375,9.397923875432527,0.1875
12,0.0,75.0,10.0,2.0,9.586666666666666,5.6,1.5,116.08248888888889,34.64,0.25
13,0.0,65.0,9.0,0.0,10.092307692307692,3.2222222222222223,,125.71455621301774,15.506172839506174,
14,0.0,63.0,16.0,1.0,13.873015873015873,4.125,3.0,154.77752582514486,9.484375,0.0
15,0.0,65.0,13.0,4.0,13.046153846153846,7.076923076923077,1.25,146.32094674556214,21.91715976331361,0.1875
16,0.0,71.0,23.0,3.0,13.549295774647888,5.043478260869565,2.0,143.93771077167227,11.432892249527407,0.6666666666666666
17,0.0,69.0,20.0,6.0,15.028985507246377,6.4,2.5,187.100609115732,26.339999999999996,6.583333333333333
18,0.0,56.0,17.0,4.0,16.107142857142858,5.235294117647059,2.25,132.05994897959184,5.709342560553633,1.1875
19,0.0,67.0,17.0,4.0,13.402985074626866,5.9411764705882355,1.5,148.2704388505235,14.878892733564014,0.25
20,0.0,68.0,17.0,4.0,15.014705882352942,8.352941176470589,2.75,158.27919550173013,33.6401384083045,1.6875
21,0.0,67.0,17.0,3.0,14.447761194029852,3.764705882352941,3.0,128.36667409222542,5.591695501730104,2.0
22,0.0,68.0,17.0,1.0,12.382352941176471,4.705882352941177,5.0,126.11851211072666,14.442906574394462,0.0
23,0.0,70.0,16.0,5.0,13.028571428571428,8.1875,5.2,159.82775510204078,25.65234375,2.96
24,0.0,71.0,10.0,1.0,9.873239436619718,5.3,1.0,125.60365006943067,13.609999999999996,0.0
25,0.0,67.0,14.0,7.0,12.044776119402986,3.857142857142857,2.0,108.60993539763867,16.122448979591834,1.7142857142857142
26,0.0,65.0,16.0,3.0,15.36923076923077,7.875,4.333333333333333,236.50982248520717,38.234375,0.888888888888889
27,0.0,63.0,21.0,6.0,17.365079365079364,7.809523809523809,1.6666666666666667,215.02544721592338,74.72562358276643,1.222222222222222
28,0.0,67.0,13.0,0.0,13.134328358208956,7.0,,170.0565827578525,56.15384615384615,
29,0.0,63.0,17.0,5.0,16.349206349206348,7.352941176470588,3.4,206.48122952884856,23.75778546712803,5.839999999999999
30,0.0,71.0,18.0,2.0,13.309859154929578,8.277777777777779,2.0,118.43919857171197,32.31172839506173,1.0
31,0.0,61.0,13.0,5.0,14.655737704918034,5.0,4.8,141.24213920988984,12.153846153846153,4.16
32,0.0,72.0,16.0,8.0,15.11111111111111,6.75,2.75,189.98765432098764,33.0625,3.9375
33,0.0,60.0,14.0,6.0,16.366666666666667,8.571428571428571,2.6666666666666665,188.36555555555555,49.24489795918368,3.2222222222222228
34,0.0,68.0,6.0,0.0,9.602941176470589,2.3333333333333335,,112.26881487889274,4.5555555555555545,
35,0.0,58.0,9.0,1.0,12.344827586206897,8.777777777777779,8.0,180.9845422116528,36.172839506172835,0.0
36,0.0,65.0,19.0,5.0,15.953846153846154,5.7894736842105265,4.2,159.92094674556213,12.797783933518005,5.36
37,0.0,70.0,13.0,10.0,15.17142857142857,7.3076923076923075,2.0,114.74204081632654,22.059171597633142,2.2
38,0.0,67.0,13.0,1.0,14.850746268656716,6.615384615384615,1.0,181.08220093562042,33.467455621301774,0.0
39,0.0,69.0,16.0,4.0,14.681159420289855,5.25,2.0,128.1302247427011,16.5625,0.5
40,0.0,65.0,24.0,8.0,16.153846153846153,6.458333333333333,2.375,169.29940828402366,22.914930555555557,1.984375
41,0.0,67.0,20.0,9.0,15.074626865671641,7.8,3.0,148.93472933838274,31.96,7.111111111111111
42,0.0,61.0,16.0,1.0,13.426229508196721,4.25,1.0,142.70357430798174,9.6875,0.0
43,0.0,66.0,16.0,2.0,14.606060606060606,7.4375,4.5,138.02662993572085,27.74609375,2.25
44,0.0,62.0,18.0,3.0,15.774193548387096,4.888888888888889,2.3333333333333335,149.40062434963582,17.432098765432094,0.8888888888888888
45,0.0,65.0,16.0,4.0,14.692307692307692,7.6875,3.5,179.13609467455623,36.96484375,2.25
46,0.0,60.0,15.0,3.0,14.15,5.466666666666667,4.0,154.3275,22.915555555555557,2.0
47,0.0,63.0,15.0,2.0,15.031746031746032,5.733333333333333,2.5,223.07835726883349,24.062222222222218,0.25
48,0.0,69.0,10.0,3.0,11.26086956521739,7.0,1.6666666666666667,137.61310649023312,41.0,0.2222222222222222
49,0.0,62.0,15.0,4.0,14.903225806451612,6.066666666666666,3.0,149.474505723205,13.262222222222222,12.0
0,5.0,69.0,25.0,12.0,12.706991852193639,2.749555349051952,0.5738717317581177,128.4310128664327,11.812337999084228,0.28436935688592274
1,5.0,80.0,30.0,7.0,13.564932478219271,5.162160416444142,1.2409513337271554,144.54533362795877,29.73066957081482,2.4175732402263654
2,5.0,74.0,20.0,6.0,11.663040702923428,2.2911248710006475,0.6551125844319662,113.57644289876875,5.570321424191738,0.2774533662615997
3,5.0,83.0,17.0,5.0,9.725752653756055,3.5709884938071754,0.9172931671142578,121.9013855033528,12.095724997619273,0.37877722658799023
4,5.0,77.0,29.0,7.0,12.981446678006368,4.387389183044434,1.3444420950753349,167.43625656461666,22.216167718441138,0.29689939937860776
5,5.0,76.0,27.0,6.0,12.722050033803834,2.8740901453075587,1.5255943934122722,171.684151509695,10.66375567765911,2.174270458510263
6,5.0,80.0,20.0,9.0,12.463862292841076,6.472787845134735,1.0600714683532715,133.9766894968804,27.72131139619271,0.8350324986911599
7,5.0,87.0,40.0,18.0,13.733481155558565,5.374844735860824,2.018596437242296,134.8667541482727,23.12721859443694,3.0167177619109737
