simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,9.0,1.0,1.0,39.666666666666664,5.0,1.0,202.22222222222223,0.0,0.0
1,0.1,9.0,1.0,0.0,35.44444444444444,7.0,,218.69135802469137,0.0,
2,0.1,8.0,0.0,0.0,28.625,,,37.734375,,
3,0.1,9.0,0.0,0.0,27.22222222222222,,,99.06172839506172,,
4,0.1,9.0,2.0,0.0,35.0,5.0,,417.55555555555554,1.0,
5,0.1,9.0,1.0,0.0,40.77777777777778,4.0,,168.83950617283952,0.0,
6,0.1,9.0,0.0,0.0,32.111111111111114,,,288.32098765432096,,
7,0.1,9.0,3.0,0.0,32.55555555555556,5.0,,198.46913580246914,24.666666666666668,
8,0.1,8.0,2.0,0.0,48.625,1.0,,74.234375,0.0,
9,0.1,9.0,0.0,0.0,33.55555555555556,,,157.35802469135803,,
10,0.1,8.0,0.0,0.0,35.75,,,386.6875,,
11,0.1,8.0,2.0,1.0,44.0,5.5,3.0,40.0,0.25,0.0
12,0.1,9.0,3.0,0.0,42.333333333333336,3.6666666666666665,,72.66666666666667,2.8888888888888893,
13,0.1,9.0,3.0,1.0,43.44444444444444,3.0,1.0,59.13580246913581,2.0,0.0
14,0.1,8.0,0.0,0.0,29.25,,,246.1875,,
15,0.1,9.0,2.0,0.0,33.333333333333336,8.0,,184.00000000000003,4.0,
16,0.1,9.0,1.0,0.0,38.666666666666664,5.0,,165.55555555555554,0.0,
17,0.1,9.0,1.0,0.0,34.333333333333336,5.0,,98.0,0.0,
18,0.1,9.0,3.0,0.0,44.77777777777778,6.0,,39.06172839506173,8.666666666666666,
19,0.1,8.0,0.0,0.0,46.875,,,316.859375,,
20,0.1,8.0,0.0,0.0,20.375,,,413.984375,,
21,0.1,9.0,2.0,0.0,44.111111111111114,5.0,,333.65432098765433,9.0,
22,0.1,9.0,0.0,0.0,31.444444444444443,,,375.1358024691358,,
23,0.1,9.0,2.0,0.0,36.888888888888886,4.0,,90.54320987654322,4.0,
24,0.1,7.0,0.0,0.0,28.0,,,191.42857142857142,,
25,0.1,9.0,3.0,0.0,32.666666666666664,2.6666666666666665,,185.77777777777774,2.8888888888888893,
26,0.1,9.0,1.0,0.0,36.44444444444444,7.0,,171.35802469135803,0.0,
27,0.1,9.0,1.0,0.0,36.22222222222222,11.0,,128.39506172839506,0.0,
28,0.1,8.0,0.0,0.0,32.25,,,407.1875,,
29,0.1,9.0,1.0,0.0,44.77777777777778,1.0,,311.7283950617284,0.0,
30,0.1,9.0,2.0,0.0,45.111111111111114,1.0,,64.98765432098766,0.0,
31,0.1,9.0,1.0,0.0,31.22222222222222,8.0,,310.8395061728395,0.0,
32,0.1,9.0,0.0,0.0,37.77777777777778,,,171.7283950617284,,
33,0.1,9.0,0.0,0.0,40.77777777777778,,,115.28395061728396,,
34,0.1,9.0,2.0,0.0,44.44444444444444,3.5,,156.91358024691357,6.25,
35,0.1,7.0,2.0,0.0,43.142857142857146,3.5,,272.12244897959187,2.25,
36,0.1,9.0,2.0,0.0,41.22222222222222,7.0,,214.8395061728395,1.0,
37,0.1,9.0,0.0,0.0,38.22222222222222,,,151.7283950617284,,
38,0.1,9.0,1.0,0.0,35.666666666666664,9.0,,91.77777777777777,0.0,
39,0.1,8.0,2.0,0.0,37.25,2.0,,109.4375,1.0,
40,0.1,9.0,1.0,0.0,36.333333333333336,1.0,,418.8888888888889,0.0,
41,0.1,7.0,0.0,0.0,33.0,,,401.42857142857144,,
42,0.1,9.0,0.0,0.0,32.44444444444444,,,120.02469135802468,,
43,0.1,9.0,1.0,0.0,36.111111111111114,4.0,,247.65432098765436,0.0,
44,0.1,9.0,1.0,0.0,29.444444444444443,1.0,,90.91358024691357,0.0,
45,0.1,9.0,1.0,0.0,31.88888888888889,1.0,,76.98765432098766,0.0,
46,0.1,9.0,3.0,0.0,35.55555555555556,3.3333333333333335,,319.358024691358,10.888888888888888,
47,0.1,9.0,3.0,0.0,42.55555555555556,4.666666666666667,,51.358024691358025,6.222222222222221,
48,0.1,9.0,2.0,0.0,41.55555555555556,3.0,,253.58024691358025,4.0,
49,0.1,9.0,0.0,0.0,48.0,,,119.55555555555556,,
0,0.2,16.0,3.0,0.0,30.25,2.3333333333333335,,215.3125,0.8888888888888888,
1,0.2,17.0,4.0,4.0,32.11764705882353,4.0,3.25,88.22145328719724,5.5,3.1875
2,0.2,16.0,2.0,0.0,22.875,8.0,,98.734375,49.0,
3,0.2,18.0,5.0,0.0,24.72222222222222,2.2,,138.08950617283952,1.3599999999999999,
4,0.2,19.0,5.0,1.0,28.473684210526315,4.4,1.0,206.14404432132963,9.440000000000001,0.0
5,0.2,18.0,7.0,0.0,29.22222222222222,3.7142857142857144,,147.06172839506175,8.204081632653061,
6,0.2,18.0,5.0,1.0,28.833333333333332,4.4,2.0,78.36111111111113,7.040000000000001,0.0
7,0.2,15.0,4.0,1.0,33.333333333333336,5.5,4.0,127.0222222222222,5.25,0.0
8,0.2,16.0,6.0,1.0,31.25,6.0,2.0,288.4375,28.666666666666668,0.0
9,0.2,17.0,7.0,2.0,29.647058823529413,4.0,3.5,200.34602076124568,9.428571428571429,6.25
10,0.2,17.0,6.0,1.0,33.294117647058826,4.5,2.0,288.0899653979239,5.25,0.0
11,0.2,18.0,9.0,0.0,33.44444444444444,3.0,,34.02469135802469,6.888888888888889,
12,0.2,18.0,7.0,1.0,28.944444444444443,4.285714285714286,2.0,145.16358024691357,11.632653061224488,0.0
13,0.2,18.0,6.0,1.0,34.05555555555556,6.333333333333333,2.0,235.60802469135803,10.555555555555555,0.0
14,0.2,19.0,7.0,0.0,26.473684210526315,5.857142857142857,,170.8808864265928,10.408163265306124,
15,0.2,17.0,5.0,1.0,30.470588235294116,5.4,2.0,133.77854671280278,4.64,0.0
16,0.2,16.0,4.0,0.0,36.875,10.75,,156.359375,83.6875,
17,0.2,16.0,3.0,0.0,28.9375,4.666666666666667,,428.55859375,9.555555555555555,
18,0.2,18.0,6.0,1.0,32.55555555555556,8.833333333333334,3.0,325.2469135802469,14.472222222222221,0.0
19,0.2,18.0,6.0,0.0,34.77777777777778,5.0,,269.7283950617284,5.333333333333333,
20,0.2,15.0,2.0,0.0,30.6,5.0,,351.97333333333336,16.0,
21,0.2,18.0,4.0,0.0,25.27777777777778,7.75,,219.53395061728395,32.6875,
22,0.2,17.0,6.0,0.0,34.294117647058826,6.333333333333333,,61.266435986159166,19.222222222222225,
23,0.2,17.0,3.0,0.0,29.88235294117647,2.6666666666666665,,169.51557093425606,2.8888888888888893,
24,0.2,18.0,3.0,0.0,24.166666666666668,3.6666666666666665,,218.58333333333331,3.555555555555556,
25,0.2,19.0,6.0,1.0,25.736842105263158,6.666666666666667,2.0,183.98337950138506,19.88888888888889,0.0
26,0.2,18.0,7.0,3.0,33.0,5.142857142857143,1.3333333333333333,165.55555555555554,10.693877551020407,0.2222222222222222
27,0.2,19.0,4.0,1.0,26.94736842105263,1.75,5.0,176.04986149584488,0.1875,0.0
28,0.2,18.0,5.0,0.0,34.666666666666664,3.0,,291.33333333333337,3.6,
29,0.2,17.0,5.0,0.0,37.705882352941174,5.4,,200.9134948096886,13.040000000000001,
30,0.2,18.0,6.0,2.0,33.05555555555556,7.0,5.5,94.94135802469137,13.666666666666666,6.25
31,0.2,18.0,4.0,1.0,27.38888888888889,5.75,1.0,392.6820987654321,24.6875,0.0
32,0.2,18.0,5.0,1.0,30.72222222222222,7.0,4.0,220.0895061728395,30.8,0.0
33,0.2,18.0,8.0,3.0,30.055555555555557,5.25,1.6666666666666667,288.71913580246905,19.1875,0.2222222222222222
34,0.2,17.0,1.0,1.0,30.58823529411765,6.0,1.0,372.5951557093426,0.0,0.0
35,0.2,17.0,5.0,0.0,24.11764705882353,4.0,,195.98615916955015,7.2,
36,0.2,18.0,5.0,1.0,29.944444444444443,5.6,1.0,230.38580246913574,15.84,0.0
37,0.2,15.0,4.0,0.0,30.4,7.0,,191.3066666666667,3.5,
38,0.2,18.0,7.0,2.0,34.05555555555556,6.857142857142857,3.0,83.94135802469134,22.693877551020403,4.0
39,0.2,18.0,3.0,1.0,35.166666666666664,9.333333333333334,1.0,170.69444444444443,24.222222222222225,0.0
40,0.2,18.0,3.0,1.0,26.0,4.666666666666667,2.0,117.33333333333333,6.222222222222221,0.0
41,0.2,17.0,4.0,0.0,32.294117647058826,4.0,,131.14878892733563,6.5,
42,0.2,16.0,4.0,0.0,29.375,3.75,,226.984375,1.6875,
43,0.2,17.0,3.0,0.0,31.176470588235293,10.0,,367.7923875432526,42.666666666666664,
44,0.2,13.0,2.0,0.0,33.53846153846154,8.0,,125.32544378698228,25.0,
45,0.2,17.0,7.0,1.0,30.352941176470587,3.2857142857142856,1.0,75.28719723183391,3.9183673469387754,0.0
46,0.2,18.0,2.0,1.0,32.888888888888886,9.0,1.0,127.87654320987654,25.0,0.0
47,0.2,19.0,2.0,1.0,28.57894736842105,14.0,3.0,197.19113573407202,4.0,0.0
48,0.2,18.0,9.0,3.0,35.94444444444444,4.0,3.3333333333333335,180.60802469135805,10.222222222222221,2.8888888888888893
49,0.2,19.0,5.0,1.0,34.578947368421055,9.2,9.0,268.770083102493,32.96,0.0
0,0.3,26.0,7.0,1.0,23.96153846153846,3.5714285714285716,7.0,166.88313609467454,4.530612244897959,0.0
1,0.3,26.0,11.0,6.0,28.192307692307693,4.363636363636363,2.1666666666666665,153.23224852071004,9.685950413223141,1.805555555555556
2,0.3,27.0,5.0,0.0,17.185185185185187,3.4,,79.85459533607681,6.639999999999999,
3,0.3,28.0,4.0,0.0,19.428571428571427,5.25,,166.17346938775512,10.1875,
4,0.3,25.0,8.0,1.0,28.24,3.25,2.0,139.2224,3.4375,0.0
5,0.3,25.0,8.0,1.0,27.32,8.875,1.0,115.49759999999998,16.609375,0.0
6,0.3,27.0,8.0,1.0,25.22222222222222,4.125,6.0,118.61728395061729,6.609375,0.0
7,0.3,24.0,7.0,1.0,28.0,6.714285714285714,1.0,146.91666666666666,7.9183673469387745,0.0
8,0.3,27.0,10.0,2.0,30.555555555555557,8.1,2.5,211.2098765432099,23.49,0.25
9,0.3,28.0,11.0,2.0,24.75,6.0,1.5,153.04464285714286,19.454545454545453,0.25
10,0.3,25.0,7.0,0.0,31.92,4.428571428571429,,309.9936,7.102040816326531,
11,0.3,29.0,10.0,1.0,26.379310344827587,5.2,2.0,254.37336504161712,22.160000000000004,0.0
12,0.3,28.0,10.0,3.0,24.964285714285715,8.1,2.3333333333333335,197.2487244897959,27.29,1.5555555555555554
13,0.3,26.0,9.0,1.0,26.846153846153847,2.4444444444444446,4.0,189.74556213017752,2.469135802469136,0.0
14,0.3,29.0,10.0,4.0,22.413793103448278,4.9,2.25,171.9667063020214,5.49,1.6875
15,0.3,29.0,8.0,1.0,23.655172413793103,4.25,2.0,160.36385255648042,6.9375,0.0
16,0.3,28.0,13.0,3.0,29.892857142857142,8.076923076923077,3.0,148.59566326530611,56.68639053254438,2.0
17,0.3,26.0,3.0,0.0,27.576923076923077,6.0,,232.78254437869825,20.666666666666668,
18,0.3,26.0,7.0,2.0,29.153846153846153,7.571428571428571,2.5,179.43786982248523,14.816326530612242,0.25
19,0.3,28.0,12.0,2.0,28.571428571428573,3.5,6.0,183.3877551020408,2.9166666666666665,4.0
20,0.3,28.0,1.0,0.0,20.392857142857142,9.0,,239.09566326530611,0.0,
21,0.3,22.0,4.0,0.0,30.363636363636363,5.75,,178.50413223140495,23.1875,
22,0.3,25.0,7.0,4.0,26.92,5.428571428571429,3.5,119.67360000000001,22.816326530612248,4.75
23,0.3,24.0,4.0,1.0,27.375,6.0,3.0,99.31770833333333,15.5,0.0
24,0.3,27.0,3.0,1.0,22.22222222222222,6.333333333333333,4.0,178.320987654321,13.555555555555557,0.0
25,0.3,29.0,6.0,3.0,23.344827586206897,8.5,2.3333333333333335,253.6741973840666,24.916666666666668,0.8888888888888888
26,0.3,29.0,11.0,4.0,25.82758620689655,3.8181818181818183,1.5,146.21165279429252,6.512396694214875,0.25
27,0.3,26.0,6.0,2.0,26.46153846153846,3.1666666666666665,3.5,166.47928994082838,19.472222222222225,2.25
28,0.3,26.0,9.0,1.0,28.53846153846154,7.777777777777778,2.0,265.24852071005915,26.17283950617284,0.0
29,0.3,24.0,5.0,1.0,28.958333333333332,5.8,2.0,299.6232638888889,22.96,0.0
