simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,62.0,23.0,10.0,19.661290322580644,6.739130434782608,2.5,174.09495317377736,23.671077504725897,1.65
1,0.0,70.0,32.0,8.0,20.32857142857143,4.9375,2.875,162.47775510204085,16.49609375,3.609375
2,0.0,75.0,27.0,8.0,18.773333333333333,7.111111111111111,2.5,102.7352888888889,33.50617283950618,1.0
3,0.0,75.0,27.0,12.0,17.386666666666667,6.148148148148148,1.9166666666666667,139.0371555555556,14.052126200274348,0.9097222222222222
4,0.0,72.0,27.0,6.0,17.569444444444443,5.62962962962963,3.5,176.18962191358025,15.492455418381345,7.916666666666667
5,0.0,73.0,20.0,12.0,14.643835616438356,5.1,2.8333333333333335,144.77725652092326,16.59,4.305555555555555
6,0.0,68.0,24.0,9.0,18.308823529411764,6.75,2.7777777777777777,193.4487456747405,19.6875,3.0617283950617287
7,0.0,75.0,19.0,6.0,14.946666666666667,6.0,3.0,131.67715555555557,20.31578947368421,1.3333333333333333
8,0.0,69.0,25.0,9.0,17.333333333333332,5.28,1.6666666666666667,111.93236714975846,16.5216,0.6666666666666666
9,0.0,74.0,24.0,11.0,18.243243243243242,5.958333333333333,2.1818181818181817,149.69758948137323,29.62326388888889,1.0578512396694215
10,0.0,77.0,33.0,10.0,18.584415584415584,6.212121212121212,2.5,149.82728959352337,15.439853076216716,4.85
11,0.0,69.0,22.0,9.0,17.840579710144926,7.181818181818182,2.2222222222222223,183.6992228523419,23.603305785123965,3.283950617283951
12,0.0,66.0,22.0,4.0,16.575757575757574,5.545454545454546,2.75,123.75941230486686,17.793388429752067,3.6875
13,0.0,67.0,28.0,5.0,16.46268656716418,4.214285714285714,1.6,116.78592114056583,12.45408163265306,0.24
14,0.0,75.0,25.0,10.0,16.373333333333335,6.76,2.4,138.39395555555558,25.862399999999997,1.64
15,0.0,75.0,27.0,5.0,17.466666666666665,4.7407407407407405,2.6,165.04888888888888,13.895747599451303,2.64
16,0.0,67.0,23.0,6.0,17.970149253731343,5.0,1.8333333333333333,146.9543328135442,10.869565217391305,0.8055555555555555
17,0.0,62.0,19.0,8.0,19.258064516129032,5.157894736842105,2.0,179.9656607700312,22.975069252077557,0.75
18,0.0,74.0,33.0,9.0,16.66216216216216,4.393939393939394,2.0,140.7372169466764,8.844811753902661,2.2222222222222223
19,0.0,65.0,21.0,12.0,18.2,6.809523809523809,2.0,137.29846153846157,20.53514739229025,1.8333333333333333
20,0.0,71.0,30.0,11.0,18.169014084507044,5.166666666666667,2.090909090909091,133.7179131124777,8.738888888888889,2.264462809917355
21,0.0,80.0,22.0,8.0,13.8625,4.545454545454546,2.0,109.76859375,7.702479338842974,1.5
22,0.0,71.0,27.0,10.0,19.112676056338028,5.185185185185185,2.9,194.5788534021028,17.262002743484224,1.2899999999999998
23,0.0,75.0,33.0,9.0,18.293333333333333,5.909090909090909,1.7777777777777777,149.9672888888889,18.931129476584022,2.3950617283950617
24,0.0,65.0,23.0,1.0,18.553846153846155,5.478260869565218,1.0,125.1701775147929,12.68431001890359,0.0
25,0.0,70.0,31.0,13.0,19.742857142857144,6.451612903225806,3.4615384615384617,105.90530612244898,25.408949011446417,3.6331360946745566
26,0.0,79.0,41.0,15.0,18.39240506329114,5.658536585365853,3.2666666666666666,90.39032206377182,34.51754907792981,4.995555555555556
27,0.0,75.0,26.0,7.0,16.173333333333332,4.730769230769231,2.7142857142857144,138.5966222222222,17.96597633136095,1.0612244897959184
28,0.0,74.0,26.0,12.0,17.10810810810811,4.730769230769231,2.0833333333333335,141.17750182615046,10.88905325443787,1.5763888888888886
29,0.0,70.0,22.0,4.0,16.885714285714286,5.5,2.5,130.55836734693878,25.25,2.75
30,0.0,74.0,36.0,9.0,19.972972972972972,5.361111111111111,2.3333333333333335,141.83710737764792,14.675154320987653,3.5555555555555554
31,0.0,74.0,31.0,12.0,20.35135135135135,6.612903225806452,2.9166666666666665,194.36303871439006,31.52757544224766,2.243055555555556
32,0.0,74.0,31.0,7.0,17.31081081081081,4.645161290322581,1.8571428571428572,134.10609934258582,11.906347554630594,0.40816326530612246
33,0.0,70.0,18.0,3.0,14.385714285714286,4.055555555555555,1.0,99.75122448979593,9.05246913580247,0.0
34,0.0,76.0,30.0,12.0,18.07894736842105,5.3,3.6666666666666665,156.2569252077562,13.809999999999999,4.88888888888889
35,0.0,78.0,32.0,11.0,17.346153846153847,7.5625,2.6363636363636362,121.63658777120317,36.68359375,3.6859504132231398
36,0.0,71.0,27.0,8.0,18.112676056338028,6.703703703703703,3.125,238.32533227534216,35.986282578875176,3.609375
37,0.0,70.0,46.0,17.0,21.814285714285713,4.086956521739131,1.8235294117647058,138.52265306122447,7.557655954631379,1.2041522491349481
38,0.0,73.0,29.0,14.0,18.63013698630137,7.379310344827586,2.857142857142857,135.5207355976731,39.68370986920333,3.9795918367346936
39,0.0,71.0,28.0,16.0,17.04225352112676,4.571428571428571,2.1875,120.01229914699465,8.959183673469386,2.15234375
40,0.0,69.0,19.0,2.0,15.594202898550725,5.578947368421052,1.5,126.03822726318,23.29639889196676,0.25
41,0.0,74.0,29.0,13.0,17.85135135135135,5.344827586206897,2.923076923076923,152.80222790357925,11.053507728894171,4.994082840236686
42,0.0,72.0,27.0,7.0,16.90277777777778,4.555555555555555,3.142857142857143,164.4766589506173,11.4320987654321,1.836734693877551
43,0.0,79.0,33.0,12.0,17.0126582278481,5.0,2.4166666666666665,129.58211825028042,15.090909090909092,3.743055555555556
44,0.0,73.0,29.0,15.0,19.21917808219178,7.0344827586206895,2.466666666666667,147.37661850253332,24.65398335315101,2.248888888888889
45,0.0,70.0,34.0,10.0,21.17142857142857,6.0,2.1,208.2848979591837,41.88235294117647,1.09
46,0.0,71.0,18.0,3.0,15.605633802816902,5.166666666666667,3.3333333333333335,151.7036302320968,17.916666666666668,6.888888888888888
47,0.0,72.0,35.0,13.0,19.319444444444443,6.057142857142857,2.6153846153846154,135.7451774691358,26.282448979591834,4.544378698224852
48,0.0,76.0,23.0,2.0,13.394736842105264,4.434782608695652,1.0,99.42313019390582,11.637051039697543,0.0
49,0.0,74.0,25.0,3.0,15.216216216216216,5.72,2.6666666666666665,124.30460189919651,15.6416,0.8888888888888888
0,5.0,78.0,34.0,15.0,16.084411044819998,4.462373635348151,1.642644755045573,195.54105409362168,21.578135540703524,2.390889501984671
1,5.0,79.0,38.0,12.0,18.384117998465708,4.379755035827034,2.106278737386068,182.08767972113878,15.2538916781307,4.0185625874299955
2,5.0,88.0,31.0,12.0,16.58823004686697,6.440408737428727,1.355467160542806,127.08458577205057,37.10519670554843,0.7522553562677987
3,5.0,79.0,41.0,15.0,17.028067609554604,4.265442348108059,1.501917012532552,143.94668121385052,14.636659323321219,1.284262811194381
4,5.0,82.0,32.0,11.0,15.916123506862943,4.946973189711571,2.155118768865412,186.1975294862359,14.88495080646138,6.136998396378379
5,5.0,83.0,28.0,21.0,13.501727214060635,3.7336089611053467,1.6944315774100167,146.4149052924614,13.63983958811024,3.822316446106071
6,5.0,76.0,31.0,13.0,16.8036425009762,5.3307285654929375,2.077950642659114,198.3468311750901,21.885533905585124,3.1940176237234814
7,5.0,81.0,26.0,11.0,14.330440472305558,4.320574884231274,1.945317355069247,139.1843056820014,19.45114250084327,1.3815056638588192
8,5.0,84.0,36.0,16.0,14.904440539401202,3.9677919215626187,0.9836472272872925,130.25298806922777,16.91160397301676,0.7447128564058261
9,5.0,84.0,37.0,21.0,16.541632224051725,4.309041434848631,1.4088352748325892,167.1694774870115,26.811041078502164,1.1796393440636412
10,5.0,82.0,40.0,14.0,17.900692191111244,5.309966480731964,2.217392240251814,159.97173922086415,18.98577728949298,3.7882136114795335
11,5.0,81.0,31.0,10.0,15.681622828966306,5.351083317110615,2.099626159667969,190.57220282382613,27.227320386199377,3.750613858851138
12,5.0,77.0,28.0,12.0,14.685641885674618,4.587270872933524,1.1232541402180989,136.89303660676268,17.120727105020944,1.4281898828299342
13,5.0,79.0,36.0,10.0,14.45866805428191,3.5239129355177283,1.274238395690918,129.20534641503215,12.108340864704003,0.3087859541806756
14,5.0,85.0,33.0,18.0,14.995278502913083,5.23139766852061,2.002171410454644,146.0678533027644,24.510934130658793,2.1793159189539524
15,5.0,84.0,33.0,12.0,16.201717804540834,3.988957382061265,1.4054501851399739,175.18990939932294,13.497367865731064,2.5769502477859434
16,5.0,80.0,40.0,12.0,15.490695154527202,3.1239168465137483,1.0185329119364421,163.25516255357843,11.671635267527869,1.050615716728291
17,5.0,73.0,28.0,8.0,16.853583523825016,3.7948791618858064,1.9876017570495605,198.379543475589,21.964864131757214,0.7482987235869132
18,5.0,84.0,40.0,18.0,15.111319740823959,3.7391776591539383,1.2400684356689453,153.5843690466744,9.720118453163465,1.6670929986984346
19,5.0,73.0,29.0,17.0,16.694551224884105,5.058348951668575,1.5648801186505485,149.8102361092347,23.505687884849916,1.2023332220315943
20,5.0,82.0,37.0,18.0,16.302922979360673,4.453666896433444,1.5780561235215929,149.72915498615788,10.897892515086756,1.418039190509318
21,5.0,85.0,27.0,9.0,13.73385549792472,3.725002809807106,1.90660646226671,112.69652654070579,7.061635661857223,1.7688067957710756
22,5.0,80.0,34.0,12.0,17.52356029562652,4.051692974918029,2.4692440032958984,211.6539143273701,15.290611489579472,1.796974640563955
23,5.0,86.0,36.0,12.0,16.462659296687953,5.294025831752354,1.3687070210774739,164.2971729409473,18.298559495559388,2.17141633012539
