simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,64.0,7.0,0.0,9.03125,3.5714285714285716,,103.1552734375,8.244897959183675,
1,0.0,65.0,4.0,0.0,9.6,5.0,,107.22461538461539,1.5,
2,0.0,57.0,2.0,0.0,9.666666666666666,10.0,,196.74853801169593,1.0,
3,0.0,65.0,4.0,0.0,8.03076923076923,6.5,,93.10674556213017,16.25,
4,0.0,59.0,3.0,1.0,9.016949152542374,1.3333333333333333,1.0,164.28784831944841,0.2222222222222222,0.0
5,0.0,55.0,8.0,2.0,12.018181818181818,6.25,2.0,186.7087603305786,14.6875,1.0
6,0.0,61.0,8.0,1.0,11.491803278688524,9.0,4.0,190.11878527277617,49.0,0.0
7,0.0,55.0,3.0,0.0,9.436363636363636,7.0,,225.7368595041322,28.666666666666668,
8,0.0,68.0,4.0,1.0,8.441176470588236,12.0,3.0,71.45242214532873,42.5,0.0
9,0.0,68.0,8.0,1.0,10.191176470588236,7.875,2.0,126.36051038062287,43.609375,0.0
10,0.0,60.0,4.0,0.0,9.45,8.5,,155.11416666666668,92.75,
11,0.0,65.0,6.0,1.0,10.36923076923077,4.5,1.0,171.3713609467456,6.916666666666667,0.0
12,0.0,55.0,5.0,2.0,10.10909090909091,2.4,1.0,271.00628099173554,2.2399999999999998,0.0
13,0.0,66.0,6.0,0.0,9.818181818181818,11.666666666666666,,169.51239669421486,106.22222222222224,
14,0.0,60.0,11.0,0.0,13.0,6.818181818181818,,184.0,30.330578512396695,
15,0.0,60.0,9.0,2.0,11.233333333333333,8.555555555555555,6.0,178.04555555555555,124.91358024691357,25.0
16,0.0,58.0,9.0,2.0,12.60344827586207,12.777777777777779,1.0,213.61860879904873,97.28395061728395,0.0
17,0.0,59.0,5.0,0.0,12.254237288135593,10.8,,218.5285837403045,36.56,
18,0.0,56.0,5.0,0.0,10.232142857142858,6.2,,131.49968112244898,7.760000000000001,
19,0.0,50.0,6.0,1.0,11.4,5.5,3.0,202.0,23.25,0.0
