simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,70.0,1.0,0.0,7.414285714285715,23.0,,106.15693877551021,0.0,
1,0.0,67.0,4.0,0.0,8.970149253731343,10.5,,145.84985520160393,74.25,
2,0.0,69.0,6.0,0.0,8.08695652173913,4.666666666666667,,98.54316320100818,8.222222222222223,
3,0.0,57.0,8.0,0.0,10.649122807017545,4.375,,191.77162203755003,19.484375,
4,0.0,62.0,10.0,2.0,11.17741935483871,6.1,2.0,144.62981269510928,18.89,1.0
5,0.0,63.0,7.0,1.0,9.761904761904763,3.4285714285714284,1.0,145.64172335600907,1.3877551020408163,0.0
6,0.0,52.0,6.0,1.0,12.788461538461538,7.666666666666667,13.0,326.82063609467457,32.88888888888889,0.0
7,0.0,57.0,4.0,2.0,11.614035087719298,12.0,1.0,239.71068020929513,57.5,0.0
8,0.0,60.0,5.0,0.0,9.5,5.6,,159.75,11.04,
9,0.0,57.0,3.0,0.0,10.24561403508772,8.333333333333334,,234.53616497383808,20.222222222222225,
10,0.0,61.0,2.0,0.0,8.819672131147541,3.0,,208.4428916957807,1.0,
11,0.0,66.0,5.0,0.0,8.984848484848484,8.2,,120.04522497704315,82.16,
12,0.0,58.0,7.0,0.0,10.827586206896552,8.714285714285714,,143.62544589774078,36.775510204081634,
13,0.0,58.0,5.0,1.0,9.275862068965518,5.2,3.0,267.9239001189061,19.36,0.0
14,0.0,59.0,3.0,0.0,8.35593220338983,6.0,,132.2292444699799,32.666666666666664,
15,0.0,68.0,2.0,0.0,7.5588235294117645,8.0,,78.30536332179929,9.0,
16,0.0,54.0,4.0,1.0,11.351851851851851,13.0,4.0,200.33916323731142,23.5,0.0
17,0.0,66.0,4.0,0.0,8.757575757575758,8.0,,116.0018365472911,52.5,
18,0.0,66.0,14.0,1.0,10.287878787878787,4.571428571428571,1.0,109.53833792470158,10.10204081632653,0.0
19,0.0,70.0,0.0,0.0,6.942857142857143,,,87.6538775510204,,
20,0.0,59.0,8.0,0.0,10.067796610169491,2.75,,125.41913243320886,2.6875,
21,0.0,67.0,4.0,0.0,8.64179104477612,3.5,,67.48362664290487,5.25,
22,0.0,62.0,4.0,1.0,10.258064516129032,11.5,5.0,170.09469302809575,36.25,0.0
23,0.0,68.0,6.0,0.0,9.455882352941176,6.0,,210.01275951557093,7.333333333333333,
24,0.0,57.0,5.0,1.0,11.24561403508772,15.8,1.0,165.37827023699597,108.96,0.0
