simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,9.0,1.0,0.0,31.11111111111111,16.0,,296.5432098765432,0.0,
1,0.1,9.0,1.0,1.0,24.333333333333332,7.0,4.0,210.88888888888889,0.0,0.0
2,0.1,9.0,2.0,0.0,32.55555555555556,2.5,,207.58024691358025,2.25,
3,0.1,9.0,1.0,0.0,34.77777777777778,16.0,,360.8395061728395,0.0,
4,0.1,7.0,1.0,0.0,36.142857142857146,15.0,,481.26530612244903,0.0,
5,0.1,7.0,1.0,0.0,41.57142857142857,4.0,,131.3877551020408,0.0,
6,0.1,9.0,2.0,0.0,30.666666666666668,7.0,,116.66666666666667,16.0,
7,0.1,8.0,1.0,0.0,38.25,4.0,,456.1875,0.0,
8,0.1,9.0,2.0,0.0,44.888888888888886,2.5,,58.76543209876544,0.25,
9,0.1,8.0,1.0,0.0,35.0,4.0,,153.75,0.0,
10,0.1,9.0,0.0,0.0,38.0,,,492.22222222222223,,
11,0.1,8.0,1.0,0.0,22.75,1.0,,325.4375,0.0,
12,0.1,9.0,1.0,0.0,35.333333333333336,7.0,,157.55555555555554,0.0,
13,0.1,9.0,0.0,0.0,28.333333333333332,,,305.3333333333333,,
14,0.1,9.0,1.0,0.0,34.0,4.0,,78.44444444444444,0.0,
15,0.1,8.0,1.0,0.0,33.375,19.0,,71.734375,0.0,
16,0.1,8.0,1.0,0.0,29.625,4.0,,192.234375,0.0,
17,0.1,9.0,1.0,0.0,27.444444444444443,3.0,,72.69135802469135,0.0,
18,0.1,8.0,1.0,0.0,36.25,3.0,,389.1875,0.0,
19,0.1,8.0,1.0,0.0,38.625,1.0,,581.234375,0.0,
20,0.1,9.0,1.0,0.0,32.888888888888886,21.0,,114.98765432098766,0.0,
21,0.1,7.0,0.0,0.0,41.0,,,612.0,,
22,0.1,9.0,0.0,0.0,30.0,,,292.22222222222223,,
23,0.1,9.0,2.0,0.0,30.88888888888889,3.0,,49.65432098765432,0.0,
24,0.1,9.0,0.0,0.0,26.88888888888889,,,372.0987654320988,,
25,0.1,9.0,0.0,0.0,27.88888888888889,,,254.32098765432096,,
26,0.1,8.0,0.0,0.0,36.0,,,230.75,,
27,0.1,9.0,1.0,0.0,34.44444444444444,13.0,,204.0246913580247,0.0,
28,0.1,9.0,1.0,0.0,25.22222222222222,1.0,,211.9506172839506,0.0,
29,0.1,8.0,0.0,0.0,35.5,,,240.25,,
30,0.1,8.0,0.0,0.0,33.625,,,464.234375,,
31,0.1,9.0,1.0,0.0,27.333333333333332,9.0,,149.33333333333334,0.0,
32,0.1,8.0,3.0,0.0,39.875,4.0,,257.609375,2.6666666666666665,
