simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,8.0,0.0,0.0,48.5,,,89.25,,
1,0.1,9.0,3.0,0.0,40.0,3.0,,94.66666666666667,4.666666666666667,
2,0.1,9.0,3.0,0.0,42.111111111111114,2.0,,104.09876543209877,2.0,
3,0.1,9.0,3.0,0.0,43.666666666666664,2.0,,19.11111111111111,0.6666666666666666,
4,0.1,9.0,2.0,0.0,36.333333333333336,1.0,,233.11111111111111,0.0,
5,0.1,9.0,3.0,0.0,42.0,3.3333333333333335,,96.44444444444444,3.555555555555556,
6,0.1,8.0,2.0,0.0,48.0,4.0,,21.75,4.0,
7,0.1,9.0,2.0,0.0,40.0,3.5,,17.555555555555557,2.25,
8,0.1,9.0,3.0,0.0,44.333333333333336,2.6666666666666665,,24.0,1.5555555555555554,
9,0.1,9.0,1.0,1.0,41.0,4.0,2.0,8.666666666666666,0.0,0.0
10,0.1,9.0,2.0,0.0,40.111111111111114,2.5,,84.32098765432099,0.25,
11,0.1,8.0,1.0,0.0,48.625,6.0,,28.484375,0.0,
12,0.1,9.0,3.0,0.0,42.22222222222222,5.333333333333333,,69.06172839506172,10.888888888888891,
13,0.1,9.0,2.0,0.0,37.44444444444444,1.5,,98.24691358024693,0.25,
14,0.1,8.0,2.0,1.0,47.625,4.0,1.0,168.734375,1.0,0.0
15,0.1,9.0,0.0,0.0,32.888888888888886,,,71.4320987654321,,
16,0.1,8.0,0.0,0.0,34.5,,,263.5,,
17,0.1,9.0,2.0,0.0,37.22222222222222,4.5,,192.17283950617283,2.25,
18,0.1,9.0,0.0,0.0,41.0,,,12.222222222222221,,
19,0.1,9.0,2.0,1.0,32.22222222222222,7.0,1.0,136.39506172839506,9.0,0.0
20,0.1,9.0,1.0,0.0,35.0,1.0,,52.44444444444444,0.0,
21,0.1,9.0,2.0,0.0,31.11111111111111,2.5,,159.4320987654321,2.25,
22,0.1,9.0,0.0,0.0,38.44444444444444,,,174.46913580246914,,
23,0.1,8.0,0.0,0.0,39.625,,,79.484375,,
24,0.1,9.0,2.0,0.0,49.0,3.0,,83.55555555555556,4.0,
25,0.1,9.0,1.0,0.0,52.0,13.0,,63.77777777777778,0.0,
26,0.1,9.0,0.0,0.0,29.22222222222222,,,149.06172839506175,,
27,0.1,9.0,2.0,0.0,43.55555555555556,6.5,,135.1358024691358,2.25,
28,0.1,9.0,1.0,1.0,36.77777777777778,8.0,2.0,354.8395061728395,0.0,0.0
29,0.1,9.0,1.0,0.0,39.333333333333336,16.0,,282.6666666666667,0.0,
30,0.1,9.0,1.0,0.0,42.666666666666664,1.0,,90.22222222222223,0.0,
31,0.1,8.0,1.0,0.0,44.25,6.0,,74.9375,0.0,
32,0.1,9.0,3.0,0.0,28.555555555555557,4.333333333333333,,150.69135802469134,4.222222222222222,
33,0.1,7.0,0.0,0.0,33.857142857142854,,,284.69387755102036,,
34,0.1,9.0,1.0,0.0,38.44444444444444,1.0,,182.24691358024688,0.0,
35,0.1,9.0,2.0,1.0,45.22222222222222,3.5,2.0,83.06172839506172,2.25,0.0
36,0.1,9.0,2.0,0.0,36.44444444444444,7.5,,122.24691358024691,2.25,
37,0.1,9.0,2.0,0.0,43.0,2.5,,279.1111111111111,2.25,
38,0.1,8.0,2.0,0.0,43.5,2.0,,47.75,0.0,
39,0.1,9.0,1.0,0.0,46.0,9.0,,93.11111111111111,0.0,
40,0.1,9.0,2.0,0.0,41.0,2.5,,128.44444444444446,2.25,
41,0.1,9.0,2.0,0.0,43.55555555555556,6.0,,217.1358024691358,1.0,
42,0.1,9.0,3.0,0.0,41.666666666666664,2.6666666666666665,,150.88888888888889,2.8888888888888893,
43,0.1,9.0,2.0,0.0,43.22222222222222,5.5,,240.39506172839506,6.25,
44,0.1,9.0,2.0,0.0,39.77777777777778,5.5,,279.9506172839506,6.25,
45,0.1,9.0,0.0,0.0,40.888888888888886,,,223.20987654320987,,
46,0.1,8.0,0.0,0.0,49.75,,,140.9375,,
47,0.1,9.0,2.0,0.0,34.666666666666664,5.0,,110.22222222222223,9.0,
48,0.1,9.0,2.0,0.0,46.44444444444444,2.5,,186.69135802469137,0.25,
49,0.1,9.0,1.0,0.0,34.44444444444444,4.0,,27.580246913580247,0.0,
0,0.2,18.0,6.0,0.0,33.833333333333336,3.3333333333333335,,168.25,0.8888888888888888,
1,0.2,19.0,6.0,1.0,29.894736842105264,3.6666666666666665,1.0,137.8836565096953,2.2222222222222228,0.0
2,0.2,18.0,2.0,0.0,33.05555555555556,4.0,,209.71913580246914,9.0,
3,0.2,17.0,6.0,0.0,35.529411764705884,4.833333333333333,,68.83737024221453,6.138888888888889,
4,0.2,18.0,4.0,0.0,31.5,4.5,,138.25,8.75,
5,0.2,19.0,5.0,0.0,31.31578947368421,5.6,,208.84764542936287,41.84,
6,0.2,18.0,5.0,0.0,39.333333333333336,5.0,,65.44444444444444,22.0,
7,0.2,18.0,4.0,3.0,32.77777777777778,4.75,1.6666666666666667,108.83950617283952,24.1875,0.2222222222222222
8,0.2,18.0,4.0,0.0,33.0,5.75,,67.22222222222223,15.1875,
9,0.2,19.0,5.0,1.0,32.36842105263158,3.0,1.0,96.65373961218836,6.8,0.0
10,0.2,18.0,9.0,1.0,35.388888888888886,5.0,1.0,183.6820987654321,13.11111111111111,0.0
11,0.2,19.0,8.0,1.0,30.842105263157894,3.375,2.0,133.39612188365652,2.734375,0.0
12,0.2,18.0,7.0,2.0,32.44444444444444,3.857142857142857,1.0,152.35802469135803,6.122448979591836,0.0
13,0.2,17.0,7.0,0.0,33.76470588235294,2.2857142857142856,,147.70934256055364,2.7755102040816326,
14,0.2,18.0,3.0,1.0,33.55555555555556,4.0,1.0,394.1358024691358,0.0,0.0
15,0.2,19.0,9.0,0.0,30.894736842105264,4.666666666666667,,68.40997229916897,13.11111111111111,
16,0.2,18.0,8.0,1.0,35.666666666666664,3.125,1.0,120.55555555555556,4.609375,0.0
17,0.2,19.0,12.0,0.0,35.63157894736842,3.25,,154.86426592797787,2.0208333333333335,
18,0.2,19.0,5.0,2.0,32.26315789473684,4.2,1.0,51.036011080332415,1.3599999999999999,0.0
19,0.2,19.0,7.0,3.0,31.473684210526315,3.5714285714285716,1.3333333333333333,103.7229916897507,3.9591836734693873,0.2222222222222222
20,0.2,18.0,5.0,0.0,30.5,1.8,,116.69444444444444,0.9600000000000002,
21,0.2,19.0,4.0,0.0,24.473684210526315,3.25,,130.2493074792244,3.1875,
22,0.2,18.0,8.0,2.0,38.0,3.75,1.5,20.11111111111111,6.9375,0.25
23,0.2,16.0,5.0,1.0,34.625,3.6,1.0,55.484375,5.840000000000001,0.0
24,0.2,18.0,7.0,0.0,36.611111111111114,4.571428571428571,,154.9043209876543,10.530612244897958,
25,0.2,17.0,7.0,1.0,42.05882352941177,4.428571428571429,2.0,62.878892733564015,10.530612244897958,0.0
26,0.2,18.0,8.0,0.0,29.72222222222222,3.625,,46.20061728395061,10.484375,
27,0.2,19.0,6.0,3.0,34.05263157894737,8.833333333333334,3.3333333333333335,88.47091412742381,36.47222222222222,1.5555555555555554
28,0.2,18.0,9.0,0.0,39.27777777777778,4.333333333333333,,116.20061728395063,8.88888888888889,
29,0.2,19.0,8.0,1.0,38.31578947368421,3.625,1.0,104.42659279778394,3.734375,0.0
30,0.2,18.0,5.0,0.0,33.888888888888886,5.2,,93.32098765432099,8.959999999999999,
31,0.2,18.0,6.0,3.0,36.111111111111114,6.166666666666667,2.3333333333333335,167.76543209876544,13.138888888888888,3.555555555555556
32,0.2,19.0,5.0,0.0,27.210526315789473,2.8,,97.32409972299168,3.7600000000000002,
33,0.2,18.0,3.0,0.0,33.666666666666664,2.3333333333333335,,100.44444444444443,0.22222222222222224,
34,0.2,18.0,7.0,2.0,33.888888888888886,4.857142857142857,1.0,172.6543209876543,13.26530612244898,0.0
35,0.2,19.0,3.0,0.0,32.31578947368421,3.6666666666666665,,138.3213296398892,1.5555555555555554,
36,0.2,16.0,5.0,1.0,33.75,3.0,1.0,76.4375,2.4,0.0
37,0.2,16.0,2.0,0.0,33.625,4.0,,165.109375,1.0,
38,0.2,18.0,4.0,0.0,33.55555555555556,6.0,,262.80246913580254,23.5,
39,0.2,19.0,4.0,0.0,38.0,7.25,,149.89473684210526,26.1875,
40,0.2,19.0,4.0,0.0,30.94736842105263,4.0,,169.52354570637118,3.5,
41,0.2,19.0,6.0,0.0,31.68421052631579,7.5,,219.4792243767313,8.25,
42,0.2,19.0,5.0,2.0,30.842105263157894,3.8,2.0,158.65927977839337,8.559999999999999,1.0
43,0.2,19.0,7.0,0.0,34.31578947368421,6.428571428571429,,80.74238227146814,25.95918367346939,
44,0.2,15.0,4.0,1.0,33.93333333333333,3.5,1.0,154.06222222222223,7.25,0.0
45,0.2,19.0,3.0,0.0,32.421052631578945,6.0,,99.08587257617728,8.666666666666666,
