simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,9.0,1.0,0.0,36.55555555555556,4.0,,1312.0246913580247,0.0,
1,0.1,6.0,0.0,0.0,28.0,,,553.3333333333334,,
2,0.1,8.0,0.0,0.0,24.75,,,848.6875,,
3,0.1,9.0,0.0,0.0,30.0,,,407.77777777777777,,
4,0.1,8.0,0.0,0.0,30.5,,,336.5,,
5,0.1,8.0,0.0,0.0,21.25,,,112.4375,,
6,0.1,8.0,0.0,0.0,27.125,,,445.109375,,
7,0.1,8.0,1.0,0.0,31.25,11.0,,309.9375,0.0,
8,0.1,9.0,0.0,0.0,27.11111111111111,,,712.5432098765432,,
9,0.1,9.0,1.0,0.0,31.444444444444443,11.0,,500.46913580246917,0.0,
10,0.1,9.0,0.0,0.0,18.0,,,263.77777777777777,,
11,0.1,8.0,0.0,0.0,28.0,,,1092.5,,
12,0.1,9.0,1.0,0.0,37.888888888888886,15.0,,446.5432098765432,0.0,
13,0.1,8.0,0.0,0.0,24.5,,,327.5,,
14,0.1,8.0,0.0,0.0,22.25,,,319.1875,,
15,0.1,8.0,0.0,0.0,31.75,,,714.1875,,
16,0.1,8.0,0.0,0.0,25.375,,,693.234375,,
17,0.1,9.0,0.0,0.0,34.666666666666664,,,710.8888888888889,,
18,0.1,8.0,0.0,0.0,36.25,,,698.1875,,
19,0.1,9.0,1.0,0.0,33.888888888888886,16.0,,324.98765432098764,0.0,
20,0.1,8.0,1.0,0.0,31.0,3.0,,783.0,0.0,
21,0.1,7.0,1.0,0.0,35.142857142857146,1.0,,784.9795918367347,0.0,
22,0.1,9.0,0.0,0.0,27.11111111111111,,,230.32098765432102,,
23,0.1,9.0,0.0,0.0,23.333333333333332,,,418.0,,
24,0.1,8.0,0.0,0.0,33.5,,,538.75,,
25,0.1,8.0,0.0,0.0,27.75,,,457.6875,,
26,0.1,9.0,1.0,0.0,33.0,6.0,,450.0,0.0,
27,0.1,9.0,0.0,0.0,33.333333333333336,,,601.1111111111111,,
28,0.1,9.0,0.0,0.0,20.22222222222222,,,464.6172839506173,,
29,0.1,8.0,0.0,0.0,33.5,,,598.25,,
30,0.1,8.0,1.0,0.0,33.875,1.0,,298.109375,0.0,
31,0.1,9.0,0.0,0.0,31.333333333333332,,,800.4444444444446,,
32,0.1,9.0,1.0,0.0,30.333333333333332,3.0,,562.8888888888889,0.0,
33,0.1,8.0,0.0,0.0,23.5,,,259.75,,
34,0.1,8.0,1.0,0.0,32.625,5.0,,861.734375,0.0,
35,0.1,9.0,0.0,0.0,26.666666666666668,,,584.2222222222222,,
36,0.1,8.0,1.0,0.0,34.0,6.0,,570.5,0.0,
37,0.1,8.0,0.0,0.0,18.75,,,300.9375,,
38,0.1,9.0,0.0,0.0,31.666666666666668,,,593.7777777777778,,
39,0.1,9.0,1.0,0.0,32.666666666666664,6.0,,690.4444444444445,0.0,
40,0.1,9.0,0.0,0.0,20.77777777777778,,,208.6172839506173,,
41,0.1,9.0,1.0,0.0,33.55555555555556,5.0,,374.24691358024694,0.0,
42,0.1,9.0,0.0,0.0,25.333333333333332,,,489.55555555555554,,
43,0.1,9.0,0.0,0.0,30.0,,,362.22222222222223,,
44,0.1,9.0,2.0,0.0,28.22222222222222,4.0,,409.95061728395063,9.0,
45,0.1,8.0,0.0,0.0,29.25,,,532.4375,,
46,0.1,9.0,1.0,0.0,31.22222222222222,11.0,,311.0617283950617,0.0,
47,0.1,9.0,0.0,0.0,24.11111111111111,,,696.0987654320987,,
48,0.1,9.0,2.0,0.0,30.333333333333332,5.0,,691.3333333333335,4.0,
49,0.1,9.0,0.0,0.0,22.444444444444443,,,682.4691358024692,,
0,0.2,15.0,1.0,0.0,22.666666666666668,4.0,,1082.0888888888887,0.0,
1,0.2,17.0,1.0,0.0,16.294117647058822,2.0,,229.73702422145325,0.0,
2,0.2,16.0,1.0,0.0,20.4375,1.0,,298.24609375,0.0,
3,0.2,15.0,2.0,0.0,26.133333333333333,5.0,,336.6488888888889,4.0,
4,0.2,16.0,1.0,0.0,22.5,4.0,,394.0,0.0,
5,0.2,17.0,2.0,2.0,19.235294117647058,2.0,1.0,221.00346020761245,1.0,0.0
6,0.2,15.0,2.0,0.0,22.466666666666665,4.0,,323.4488888888889,1.0,
7,0.2,12.0,2.0,0.0,20.583333333333332,7.0,,366.7430555555556,25.0,
8,0.2,17.0,0.0,0.0,18.0,,,488.47058823529414,,
9,0.2,16.0,2.0,1.0,26.3125,15.0,10.0,491.83984375,36.0,0.0
10,0.2,17.0,1.0,0.0,14.176470588235293,3.0,,166.61591695501727,0.0,
11,0.2,18.0,2.0,0.0,20.88888888888889,11.5,,496.09876543209884,12.25,
12,0.2,17.0,1.0,0.0,21.294117647058822,13.0,,387.2664359861592,0.0,
13,0.2,13.0,2.0,0.0,26.692307692307693,4.5,,464.52071005917156,6.25,
14,0.2,17.0,3.0,0.0,18.823529411764707,4.0,,181.55709342560553,0.6666666666666666,
15,0.2,17.0,0.0,0.0,20.0,,,443.05882352941177,,
16,0.2,19.0,0.0,0.0,14.789473684210526,,,329.6398891966759,,
17,0.2,16.0,2.0,0.0,22.9375,5.5,,557.68359375,20.25,
18,0.2,15.0,1.0,0.0,29.2,5.0,,361.62666666666667,0.0,
19,0.2,15.0,2.0,0.0,25.866666666666667,7.0,,612.7822222222222,1.0,
20,0.2,18.0,2.0,0.0,24.77777777777778,10.5,,303.17283950617286,6.25,
21,0.2,18.0,2.0,0.0,21.666666666666668,5.5,,402.22222222222223,6.25,
22,0.2,18.0,1.0,0.0,19.833333333333332,11.0,,343.25000000000006,0.0,
23,0.2,17.0,0.0,0.0,16.41176470588235,,,252.83044982698962,,
24,0.2,15.0,1.0,1.0,21.2,5.0,1.0,379.75999999999993,0.0,0.0
25,0.2,18.0,2.0,0.0,21.22222222222222,4.5,,328.72839506172835,6.25,
26,0.2,16.0,1.0,0.0,23.375,3.0,,512.984375,0.0,
27,0.2,17.0,0.0,0.0,21.294117647058822,,,355.8546712802768,,
28,0.2,16.0,0.0,0.0,15.1875,,,416.27734375,,
29,0.2,16.0,1.0,0.0,21.5,11.0,,477.625,0.0,
30,0.2,18.0,1.0,0.0,21.38888888888889,9.0,,191.3487654320988,0.0,
31,0.2,13.0,1.0,0.0,28.692307692307693,15.0,,587.2899408284023,0.0,
32,0.2,16.0,1.0,0.0,15.9375,3.0,,373.43359375,0.0,
33,0.2,16.0,2.0,0.0,24.25,4.5,,261.1875,2.25,
34,0.2,17.0,2.0,0.0,21.058823529411764,5.5,,345.1141868512111,0.25,
35,0.2,17.0,0.0,0.0,17.176470588235293,,,384.96885813148793,,
36,0.2,15.0,0.0,0.0,21.6,,,333.7066666666667,,
37,0.2,19.0,2.0,0.0,20.36842105263158,8.5,,314.4432132963989,12.25,
38,0.2,18.0,1.0,0.0,19.61111111111111,1.0,,353.0154320987654,0.0,
39,0.2,17.0,2.0,0.0,27.941176470588236,11.5,,505.1141868512111,90.25,
40,0.2,18.0,2.0,0.0,15.333333333333334,2.5,,257.3333333333333,2.25,
41,0.2,16.0,0.0,0.0,20.75,,,351.8125,,
42,0.2,16.0,1.0,0.0,22.8125,2.0,,361.77734375,0.0,
43,0.2,17.0,1.0,0.0,22.41176470588235,1.0,,337.7716262975779,0.0,
44,0.2,17.0,1.0,0.0,22.88235294117647,9.0,,261.6332179930796,0.0,
45,0.2,17.0,2.0,0.0,21.705882352941178,7.0,,374.2076124567474,1.0,
46,0.2,12.0,1.0,0.0,24.083333333333332,12.0,,546.4097222222223,0.0,
47,0.2,17.0,3.0,0.0,20.88235294117647,6.333333333333333,,330.92733564013844,37.555555555555564,
48,0.2,18.0,3.0,0.0,24.833333333333332,9.666666666666666,,409.5833333333334,1.5555555555555556,
49,0.2,15.0,0.0,0.0,24.533333333333335,,,532.1155555555556,,
0,0.3,23.0,2.0,0.0,18.73913043478261,12.5,,745.9319470699432,90.25,
1,0.3,25.0,1.0,0.0,17.64,13.0,,340.07040000000006,0.0,
2,0.3,28.0,5.0,1.0,19.785714285714285,11.4,1.0,338.09693877551024,67.84,0.0
3,0.3,23.0,1.0,0.0,17.565217391304348,9.0,,271.0283553875237,0.0,
4,0.3,25.0,2.0,0.0,16.4,7.0,,292.31999999999994,4.0,
5,0.3,23.0,5.0,0.0,18.434782608695652,2.2,,182.7674858223062,2.56,
6,0.3,23.0,1.0,1.0,18.695652173913043,5.0,4.0,238.55954631379961,0.0,0.0
7,0.3,21.0,3.0,0.0,18.238095238095237,5.333333333333333,,390.84807256235825,10.888888888888888,
8,0.3,25.0,0.0,0.0,15.2,,,466.32,,
9,0.3,28.0,4.0,2.0,19.0,10.5,8.0,348.2142857142857,74.75,9.0
10,0.3,21.0,1.0,0.0,14.238095238095237,3.0,,238.562358276644,0.0,
11,0.3,25.0,2.0,0.0,18.16,14.0,,431.9744,36.0,
12,0.3,23.0,2.0,0.0,16.434782608695652,5.0,,261.28922495274105,16.0,
13,0.3,25.0,1.0,0.0,16.8,10.0,,313.04,0.0,
14,0.3,21.0,3.0,0.0,18.857142857142858,5.333333333333333,,168.40816326530611,10.888888888888891,
15,0.3,25.0,0.0,0.0,13.56,,,234.08639999999997,,
16,0.3,25.0,2.0,0.0,15.64,6.5,,238.15040000000002,0.25,
17,0.3,26.0,3.0,0.0,16.884615384615383,5.666666666666667,,361.17899408284023,6.222222222222222,
18,0.3,23.0,2.0,0.0,20.695652173913043,3.0,,318.4725897920605,1.0,
19,0.3,18.0,2.0,0.0,26.0,5.0,,410.0,9.0,
20,0.3,29.0,1.0,0.0,16.379310344827587,10.0,,270.16646848989296,0.0,
21,0.3,24.0,2.0,0.0,16.666666666666668,8.5,,385.97222222222223,56.25,
22,0.3,25.0,1.0,0.0,13.0,9.0,,137.52,0.0,
23,0.3,25.0,0.0,0.0,14.88,,,210.58559999999997,,
24,0.3,23.0,2.0,1.0,16.52173913043478,3.5,6.0,250.94517958412095,6.25,0.0
25,0.3,25.0,1.0,0.0,15.68,10.0,,237.9776,0.0,
26,0.3,27.0,3.0,0.0,18.59259259259259,5.333333333333333,,354.61179698216733,9.555555555555555,
27,0.3,25.0,1.0,0.0,17.44,12.0,,330.48640000000006,0.0,
28,0.3,24.0,5.0,0.0,16.833333333333332,4.6,,277.97222222222223,10.64,
29,0.3,21.0,0.0,0.0,16.142857142857142,,,355.93197278911566,,
30,0.3,22.0,3.0,1.0,21.545454545454547,9.0,1.0,297.6115702479339,8.666666666666666,0.0
31,0.3,23.0,2.0,0.0,21.17391304347826,5.0,,401.7958412098298,0.0,
32,0.3,24.0,2.0,0.0,13.666666666666666,2.0,,332.47222222222223,1.0,
33,0.3,24.0,3.0,0.0,18.916666666666668,4.333333333333333,,295.07638888888886,0.888888888888889,
34,0.3,24.0,2.0,1.0,15.458333333333334,5.5,2.0,307.24826388888886,12.25,0.0
