simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,77.0,29.0,12.0,18.25974025974026,4.448275862068965,1.9166666666666667,172.7117557766908,12.592152199762188,1.7430555555555554
1,0.0,70.0,18.0,3.0,16.914285714285715,5.666666666666667,2.0,161.76408163265307,22.666666666666668,2.0
2,0.0,75.0,30.0,9.0,16.04,3.7666666666666666,1.8888888888888888,142.57173333333333,10.312222222222221,1.2098765432098766
3,0.0,71.0,22.0,6.0,17.676056338028168,5.5,2.5,167.68379289823446,19.977272727272727,2.5833333333333335
4,0.0,75.0,23.0,10.0,16.493333333333332,5.434782608695652,1.3,149.84995555555554,19.11531190926276,0.8100000000000002
5,0.0,82.0,22.0,7.0,13.5,5.181818181818182,3.0,113.51829268292683,15.2396694214876,4.857142857142857
6,0.0,70.0,22.0,3.0,15.7,4.545454545454546,2.6666666666666665,137.26714285714286,13.066115702479339,0.8888888888888888
7,0.0,76.0,31.0,9.0,19.0,6.064516129032258,2.2222222222222223,214.31578947368422,12.18938605619147,1.728395061728395
8,0.0,79.0,23.0,5.0,15.69620253164557,5.3478260869565215,1.6,130.1355551994873,13.618147448015124,0.64
9,0.0,77.0,24.0,10.0,16.038961038961038,5.583333333333333,2.6,125.41406645302749,13.493055555555555,2.04
10,0.0,78.0,32.0,16.0,17.935897435897434,6.34375,3.0,189.31640368178827,22.9755859375,4.0
11,0.0,77.0,29.0,10.0,18.896103896103895,6.137931034482759,2.9,134.63855624894586,21.429250891795483,1.4900000000000002
12,0.0,75.0,29.0,4.0,14.386666666666667,4.379310344827586,1.75,85.1704888888889,14.649227110582638,0.6875
13,0.0,73.0,27.0,6.0,15.794520547945206,4.444444444444445,2.5,124.71120285231753,12.91358024691358,2.5833333333333335
14,0.0,67.0,22.0,5.0,17.17910447761194,6.181818181818182,4.4,177.52016039206953,24.330578512396695,1.8399999999999999
15,0.0,72.0,30.0,14.0,18.583333333333332,6.033333333333333,2.0,142.6875,28.765555555555558,4.142857142857143
16,0.0,74.0,30.0,8.0,18.77027027027027,5.5,3.0,170.90668371073778,11.85,2.0
17,0.0,74.0,28.0,13.0,16.7027027027027,6.535714285714286,1.8461538461538463,154.77647918188458,18.034438775510203,1.36094674556213
18,0.0,75.0,28.0,17.0,18.586666666666666,4.535714285714286,2.3529411764705883,141.97582222222223,14.391581632653061,1.8754325259515572
19,0.0,74.0,19.0,5.0,14.837837837837839,4.7368421052631575,2.8,121.51424397370343,13.77285318559557,2.56
20,0.0,77.0,26.0,5.0,16.116883116883116,4.115384615384615,3.2,142.75257210322144,12.025147928994084,6.56
21,0.0,73.0,31.0,10.0,19.315068493150687,6.741935483870968,2.2,153.69525239256896,19.6108220603538,1.36
22,0.0,79.0,27.0,17.0,16.329113924050635,6.37037037037037,3.235294117647059,153.81573465790737,26.381344307270233,5.2387543252595155
23,0.0,76.0,18.0,4.0,14.894736842105264,5.555555555555555,1.5,143.8310249307479,13.358024691358025,0.25
24,0.0,76.0,35.0,9.0,18.355263157894736,5.485714285714286,2.0,154.72905124653735,12.706938775510205,1.1111111111111112
25,0.0,75.0,28.0,11.0,17.373333333333335,6.25,2.090909090909091,147.19395555555556,20.830357142857142,2.264462809917355
26,0.0,61.0,28.0,9.0,22.80327868852459,7.035714285714286,2.888888888888889,171.63343187315238,34.60586734693878,6.987654320987654
27,0.0,73.0,25.0,7.0,15.58904109589041,5.76,2.4285714285714284,105.80371551885908,14.0224,2.5306122448979593
28,0.0,69.0,25.0,9.0,18.057971014492754,5.88,2.111111111111111,134.95316110060912,12.9856,0.9876543209876544
29,0.0,69.0,36.0,15.0,21.63768115942029,6.25,2.3333333333333335,147.4484352026885,19.354166666666668,1.688888888888889
30,0.0,73.0,27.0,15.0,19.534246575342465,5.962962962962963,2.8666666666666667,176.8515668981047,17.961591220850483,1.9822222222222223
31,0.0,73.0,31.0,6.0,16.89041095890411,6.32258064516129,1.3333333333333333,106.91949709138675,20.99271592091571,0.5555555555555556
32,0.0,76.0,41.0,13.0,18.723684210526315,5.073170731707317,2.3076923076923075,157.67364958448755,18.945865556216535,0.9822485207100594
33,0.0,69.0,32.0,11.0,17.91304347826087,5.0,2.090909090909091,113.528670447385,13.9375,2.0826446280991737
34,0.0,76.0,32.0,14.0,17.960526315789473,5.03125,1.7857142857142858,143.6958102493075,16.9052734375,0.8826530612244898
35,0.0,73.0,31.0,9.0,16.63013698630137,5.935483870967742,2.5555555555555554,101.57553011822107,8.253902185223726,3.3580246913580245
36,0.0,82.0,29.0,13.0,15.512195121951219,7.517241379310345,3.0,121.27424152290303,35.90487514863258,4.153846153846154
37,0.0,69.0,24.0,9.0,17.36231884057971,5.833333333333333,2.0,178.40495694181897,44.555555555555564,2.2222222222222223
38,0.0,76.0,39.0,14.0,21.223684210526315,5.871794871794871,3.142857142857143,180.91049168975073,16.163050624589083,1.6938775510204083
39,0.0,69.0,26.0,5.0,15.26086956521739,4.230769230769231,1.2,104.5406427221172,8.408284023668639,0.16000000000000006
40,0.0,72.0,31.0,7.0,17.930555555555557,5.064516129032258,2.2857142857142856,135.45351080246914,18.83454734651404,1.346938775510204
41,0.0,77.0,27.0,14.0,17.662337662337663,7.185185185185185,1.5714285714285714,201.2885815483218,29.187928669410148,1.2448979591836735
