simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,9.0,0.0,0.0,12.444444444444445,,,44.24691358024691,,
1,0.1,9.0,0.0,0.0,24.77777777777778,,,419.7283950617284,,
2,0.1,9.0,1.0,0.0,31.11111111111111,2.0,,615.2098765432098,0.0,
3,0.1,8.0,2.0,0.0,25.0,2.0,,319.0,0.0,
4,0.1,9.0,1.0,0.0,23.555555555555557,8.0,,585.8024691358025,0.0,
5,0.1,8.0,1.0,0.0,33.75,1.0,,582.4375,0.0,
6,0.1,8.0,0.0,0.0,26.75,,,358.6875,,
7,0.1,9.0,0.0,0.0,28.555555555555557,,,744.246913580247,,
8,0.1,8.0,0.0,0.0,22.875,,,221.609375,,
9,0.1,9.0,1.0,0.0,32.333333333333336,7.0,,342.44444444444446,0.0,
10,0.1,9.0,0.0,0.0,30.333333333333332,,,222.22222222222223,,
11,0.1,9.0,1.0,0.0,33.77777777777778,4.0,,254.39506172839506,0.0,
12,0.1,8.0,0.0,0.0,24.75,,,332.4375,,
13,0.1,9.0,0.0,0.0,21.555555555555557,,,750.469135802469,,
14,0.1,9.0,0.0,0.0,31.11111111111111,,,572.5432098765433,,
15,0.1,8.0,0.0,0.0,25.125,,,426.109375,,
16,0.1,8.0,0.0,0.0,39.25,,,418.9375,,
17,0.1,8.0,0.0,0.0,30.375,,,507.734375,,
18,0.1,9.0,0.0,0.0,28.444444444444443,,,400.0246913580247,,
19,0.1,9.0,0.0,0.0,20.11111111111111,,,247.6543209876543,,
20,0.1,9.0,0.0,0.0,24.0,,,395.55555555555554,,
21,0.1,9.0,0.0,0.0,32.22222222222222,,,1156.395061728395,,
22,0.1,6.0,1.0,0.0,48.5,14.0,,646.25,0.0,
23,0.1,9.0,1.0,0.0,31.88888888888889,4.0,,851.2098765432098,0.0,
24,0.1,9.0,1.0,0.0,26.11111111111111,6.0,,528.7654320987654,0.0,
25,0.1,8.0,0.0,0.0,20.0,,,330.0,,
26,0.1,8.0,0.0,0.0,13.75,,,172.1875,,
27,0.1,9.0,0.0,0.0,28.444444444444443,,,1321.5802469135804,,
28,0.1,9.0,0.0,0.0,21.11111111111111,,,358.32098765432096,,
