simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,8.0,0.0,0.0,23.125,,,285.859375,,
1,0.1,7.0,0.0,0.0,36.142857142857146,,,579.8367346938776,,
2,0.1,8.0,1.0,0.0,26.75,3.0,,186.1875,0.0,
3,0.1,9.0,0.0,0.0,26.333333333333332,,,401.77777777777777,,
4,0.1,9.0,1.0,0.0,37.22222222222222,17.0,,291.0617283950617,0.0,
5,0.1,9.0,1.0,0.0,26.88888888888889,4.0,,457.6543209876543,0.0,
6,0.1,9.0,0.0,0.0,36.22222222222222,,,1249.9506172839506,,
7,0.1,8.0,0.0,0.0,36.25,,,340.4375,,
8,0.1,6.0,0.0,0.0,19.666666666666668,,,302.55555555555554,,
9,0.1,9.0,1.0,0.0,30.333333333333332,3.0,,587.7777777777778,0.0,
10,0.1,8.0,0.0,0.0,33.125,,,494.609375,,
11,0.1,9.0,0.0,0.0,26.0,,,666.4444444444445,,
12,0.1,8.0,1.0,0.0,34.125,5.0,,353.609375,0.0,
13,0.1,8.0,0.0,0.0,32.5,,,1102.5,,
14,0.1,8.0,0.0,0.0,16.375,,,223.234375,,
15,0.1,8.0,0.0,0.0,26.75,,,92.4375,,
16,0.1,8.0,0.0,0.0,32.5,,,485.0,,
17,0.1,9.0,1.0,0.0,31.555555555555557,17.0,,237.35802469135803,0.0,
18,0.1,9.0,1.0,0.0,31.333333333333332,2.0,,244.0,0.0,
19,0.1,8.0,0.0,0.0,15.75,,,129.4375,,
20,0.1,8.0,0.0,0.0,34.75,,,232.9375,,
21,0.1,8.0,0.0,0.0,25.375,,,150.484375,,
22,0.1,8.0,1.0,0.0,33.375,24.0,,167.984375,0.0,
23,0.1,9.0,0.0,0.0,23.444444444444443,,,562.6913580246915,,
24,0.1,9.0,1.0,0.0,34.666666666666664,9.0,,499.55555555555554,0.0,
25,0.1,9.0,1.0,0.0,32.888888888888886,7.0,,302.7654320987654,0.0,
26,0.1,8.0,1.0,0.0,18.125,4.0,,273.859375,0.0,
27,0.1,9.0,0.0,0.0,34.44444444444444,,,435.8024691358025,,
28,0.1,9.0,1.0,0.0,27.0,7.0,,176.88888888888889,0.0,
29,0.1,9.0,2.0,0.0,35.111111111111114,5.0,,494.09876543209873,16.0,
30,0.1,9.0,1.0,0.0,28.0,25.0,,450.6666666666667,0.0,
31,0.1,9.0,1.0,0.0,32.55555555555556,35.0,,389.8024691358025,0.0,
