simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,8.0,0.0,0.0,34.125,,,428.359375,,
1,0.1,9.0,2.0,1.0,44.111111111111114,8.5,3.0,63.65432098765432,30.25,0.0
2,0.1,8.0,1.0,0.0,22.0,2.0,,120.25,0.0,
3,0.1,8.0,2.0,0.0,33.75,4.5,,191.4375,0.25,
4,0.1,9.0,1.0,0.0,39.44444444444444,1.0,,337.358024691358,0.0,
5,0.1,9.0,0.0,0.0,32.333333333333336,,,312.22222222222223,,
6,0.1,9.0,1.0,0.0,26.666666666666668,2.0,,296.22222222222223,0.0,
7,0.1,9.0,1.0,0.0,33.55555555555556,3.0,,147.80246913580245,0.0,
8,0.1,9.0,1.0,0.0,32.666666666666664,7.0,,174.44444444444446,0.0,
9,0.1,8.0,0.0,0.0,28.5,,,147.75,,
10,0.1,8.0,3.0,0.0,37.75,4.333333333333333,,158.4375,1.5555555555555554,
11,0.1,9.0,2.0,0.0,37.77777777777778,5.5,,93.50617283950618,2.25,
12,0.1,9.0,3.0,0.0,29.77777777777778,1.6666666666666667,,127.9506172839506,0.2222222222222222,
13,0.1,8.0,0.0,0.0,36.75,,,456.6875,,
14,0.1,9.0,1.0,0.0,25.666666666666668,4.0,,400.2222222222223,0.0,
15,0.1,8.0,0.0,0.0,23.625,,,301.984375,,
16,0.1,6.0,0.0,0.0,29.166666666666668,,,412.13888888888886,,
17,0.1,9.0,2.0,0.0,33.111111111111114,2.5,,352.7654320987654,0.25,
18,0.1,8.0,2.0,0.0,36.875,6.5,,104.859375,20.25,
19,0.1,9.0,0.0,0.0,28.333333333333332,,,206.0,,
20,0.1,9.0,1.0,0.0,32.55555555555556,11.0,,328.02469135802465,0.0,
21,0.1,9.0,0.0,0.0,19.0,,,177.55555555555554,,
22,0.1,8.0,1.0,0.0,30.375,5.0,,264.984375,0.0,
23,0.1,9.0,2.0,0.0,32.888888888888886,5.0,,357.20987654320993,16.0,
24,0.1,9.0,1.0,0.0,19.444444444444443,7.0,,25.135802469135804,0.0,
25,0.1,9.0,1.0,0.0,31.333333333333332,9.0,,371.33333333333337,0.0,
26,0.1,8.0,2.0,0.0,37.0,12.0,,521.5,121.0,
27,0.1,9.0,1.0,0.0,38.0,16.0,,320.6666666666667,0.0,
28,0.1,8.0,2.0,0.0,44.375,2.0,,240.734375,1.0,
29,0.1,9.0,2.0,1.0,38.333333333333336,1.5,1.0,303.77777777777777,0.25,0.0
30,0.1,9.0,1.0,0.0,35.666666666666664,3.0,,380.22222222222223,0.0,
31,0.1,9.0,3.0,0.0,29.0,4.666666666666667,,75.33333333333333,2.888888888888889,
32,0.1,9.0,1.0,0.0,41.77777777777778,3.0,,351.2839506172839,0.0,
33,0.1,8.0,2.0,1.0,41.25,5.5,2.0,82.9375,6.25,0.0
34,0.1,7.0,0.0,0.0,22.0,,,536.2857142857143,,
