simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,69.0,24.0,4.0,14.115942028985508,5.416666666666667,1.75,143.95757193866834,21.743055555555554,0.6875
1,0.0,63.0,19.0,4.0,15.73015873015873,6.368421052631579,2.0,174.9906777525825,25.390581717451525,1.5
2,0.0,68.0,24.0,4.0,14.735294117647058,6.375,2.25,130.871107266436,10.151041666666666,0.1875
3,0.0,67.0,14.0,0.0,13.522388059701493,6.5,,159.80173758075296,25.25,
4,0.0,60.0,18.0,4.0,16.716666666666665,8.944444444444445,2.75,233.60305555555553,39.49691358024691,2.1875
5,0.0,63.0,13.0,8.0,14.19047619047619,5.846153846153846,3.0,181.0748299319728,25.05325443786982,7.75
6,0.0,59.0,20.0,7.0,17.135593220338983,8.05,2.7142857142857144,182.38839413961503,29.14749999999999,2.489795918367347
7,0.0,70.0,16.0,2.0,12.042857142857143,6.0625,1.5,125.8981632653061,16.18359375,0.25
8,0.0,67.0,17.0,2.0,13.35820895522388,4.529411764705882,1.5,131.3343729115616,12.602076124567475,0.25
9,0.0,57.0,16.0,6.0,18.24561403508772,5.5,3.3333333333333335,284.7116035703294,16.0,5.5555555555555545
10,0.0,73.0,12.0,4.0,12.397260273972602,6.916666666666667,6.75,127.5819103021205,63.24305555555555,4.1875
11,0.0,69.0,23.0,7.0,16.942028985507246,6.782608695652174,3.142857142857143,120.63432052089898,13.909262759924388,5.551020408163266
12,0.0,63.0,10.0,1.0,13.428571428571429,6.3,2.0,175.16553287981858,53.00999999999999,0.0
13,0.0,74.0,13.0,0.0,10.891891891891891,3.0,,116.96128560993425,6.769230769230769,
14,0.0,67.0,20.0,10.0,14.597014925373134,5.05,2.6,137.40476720873244,17.047499999999996,2.84
15,0.0,65.0,8.0,1.0,12.446153846153846,7.875,4.0,158.46248520710057,36.109375,0.0
16,0.0,67.0,21.0,2.0,14.194029850746269,6.142857142857143,3.0,146.03697928269105,27.741496598639454,1.0
17,0.0,70.0,21.0,5.0,12.957142857142857,5.0,1.4,118.78387755102041,20.19047619047619,0.64
18,0.0,60.0,9.0,3.0,14.466666666666667,8.555555555555555,3.3333333333333335,279.8155555555556,32.46913580246914,3.555555555555556
19,0.0,73.0,16.0,1.0,13.205479452054794,9.6875,5.0,158.16325764683802,30.58984375,0.0
20,0.0,62.0,13.0,0.0,15.67741935483871,5.6923076923076925,,169.60561914672215,28.366863905325445,
21,0.0,63.0,15.0,4.0,13.73015873015873,5.533333333333333,1.75,217.97480473670953,30.11555555555555,0.6875
22,0.0,71.0,13.0,6.0,12.971830985915492,7.615384615384615,3.6666666666666665,109.71751636580045,33.62130177514792,2.8888888888888893
23,0.0,65.0,11.0,2.0,12.76923076923077,6.818181818181818,2.5,163.56213017751475,27.05785123966942,2.25
24,0.0,58.0,14.0,4.0,15.551724137931034,6.142857142857143,1.5,207.73008323424497,14.979591836734697,0.75
25,0.0,63.0,18.0,3.0,14.698412698412698,4.444444444444445,3.6666666666666665,163.22650541698164,10.358024691358025,1.5555555555555556
26,0.0,70.0,12.0,0.0,12.271428571428572,5.083333333333333,,157.0834693877551,6.576388888888889,
27,0.0,65.0,21.0,6.0,16.50769230769231,7.714285714285714,1.8333333333333333,198.7730177514793,42.39455782312925,0.8055555555555557
28,0.0,71.0,12.0,3.0,12.183098591549296,6.833333333333333,1.6666666666666667,121.27633406070224,21.472222222222218,0.2222222222222222
29,0.0,60.0,16.0,2.0,13.766666666666667,7.75,2.5,195.64555555555555,29.3125,2.25
30,0.0,67.0,12.0,1.0,12.432835820895523,7.583333333333333,5.0,124.03653374916465,16.243055555555557,0.0
31,0.0,63.0,14.0,1.0,14.603174603174603,7.428571428571429,1.0,141.3504661123709,23.95918367346939,0.0
32,0.0,68.0,17.0,4.0,13.808823529411764,5.0,2.0,133.18403979238755,22.11764705882353,1.5
33,0.0,71.0,22.0,4.0,13.80281690140845,5.0,1.25,140.41182305098195,11.727272727272727,0.1875
34,0.0,64.0,5.0,0.0,9.765625,7.2,,133.398193359375,20.560000000000002,
35,0.0,67.0,16.0,8.0,16.223880597014926,5.375,2.875,139.39763867231008,18.859375,4.359375
36,0.0,63.0,19.0,8.0,18.253968253968253,6.947368421052632,4.125,208.57042076089698,20.049861495844876,5.609375
37,0.0,66.0,21.0,11.0,16.53030303030303,7.809523809523809,2.5454545454545454,173.0672635445363,31.011337868480723,1.3388429752066116
38,0.0,73.0,20.0,3.0,13.575342465753424,8.2,2.0,102.40870707449804,33.160000000000004,0.0
39,0.0,65.0,14.0,4.0,13.907692307692308,5.928571428571429,2.5,158.23763313609467,20.494897959183675,1.25
40,0.0,68.0,15.0,1.0,14.867647058823529,6.2,2.0,126.90895328719725,16.293333333333333,0.0
41,0.0,61.0,7.0,4.0,14.901639344262295,6.428571428571429,1.25,263.957538296157,36.53061224489796,0.1875
42,0.0,64.0,18.0,3.0,14.3125,5.833333333333333,4.0,150.80859375,16.583333333333332,12.666666666666666
43,0.0,69.0,10.0,2.0,12.376811594202898,6.9,1.5,110.5536651963873,45.09,0.25
44,0.0,68.0,18.0,9.0,16.014705882352942,5.777777777777778,2.7777777777777777,172.83801903114187,20.728395061728392,3.0617283950617287
45,0.0,68.0,16.0,4.0,13.764705882352942,5.4375,2.25,176.00346020761245,13.87109375,2.6875
46,0.0,64.0,17.0,7.0,14.421875,5.529411764705882,2.7142857142857144,114.525146484375,16.955017301038062,3.346938775510204
47,0.0,70.0,12.0,4.0,12.057142857142857,3.4166666666666665,2.25,148.93959183673468,9.40972222222222,0.6875
48,0.0,68.0,11.0,1.0,13.029411764705882,6.7272727272727275,3.0,131.91089965397921,18.016528925619834,0.0
49,0.0,62.0,18.0,3.0,15.129032258064516,5.944444444444445,1.0,140.17689906347556,20.941358024691358,0.0
0,5.0,80.0,33.0,6.0,12.537483897432685,4.182169481660381,1.5973703861236572,145.74878199713746,22.778115573537765,1.3471700042121597
1,5.0,73.0,29.0,9.0,14.042997948672266,4.159061867615272,1.221713701883952,174.11113075347686,23.873295002765065,1.5045368503471839
2,5.0,77.0,32.0,12.0,13.475032173290655,4.997702192515135,1.1248456637064617,132.56468569093778,13.506009075196417,1.3283713682633838
3,5.0,74.0,17.0,3.0,12.64810310646489,5.142466383821824,0.2845876216888428,158.84337544029668,24.772800962360677,0.025609190523965708
4,5.0,67.0,23.0,12.0,15.249276669056558,6.977763341820759,0.8469101985295614,230.90266924897233,44.71996939956165,0.8367293181431498
5,5.0,73.0,21.0,10.0,12.833925115327313,3.9234231142770675,2.3282497406005858,179.76283908783464,26.42022838109078,5.958860486053309
6,5.0,69.0,28.0,16.0,15.1092926018156,5.920499998543944,1.9166269185952842,185.7278213873032,33.518026863622666,3.0771335391234294
7,5.0,82.0,26.0,9.0,10.7159141354808,3.945808034676772,0.7827853891584609,124.71406118485594,17.482342979954787,0.3147878071324416
