simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,53.0,3.0,0.0,9.60377358490566,14.333333333333334,,356.4279102883588,101.55555555555556,
1,0.0,61.0,4.0,0.0,9.770491803278688,11.0,,152.96371943026068,37.5,
2,0.0,55.0,9.0,0.0,12.49090909090909,7.888888888888889,,199.99537190082637,18.54320987654321,
3,0.0,62.0,6.0,0.0,10.5,6.333333333333333,,149.7983870967742,35.88888888888889,
4,0.0,58.0,2.0,0.0,10.413793103448276,12.5,,179.44946492271106,0.25,
5,0.0,60.0,5.0,2.0,10.683333333333334,6.6,1.5,132.38305555555553,14.24,0.25
6,0.0,53.0,2.0,1.0,11.528301886792454,9.5,4.0,152.73976504093986,6.25,0.0
7,0.0,55.0,7.0,0.0,11.163636363636364,6.142857142857143,,190.31867768595038,11.26530612244898,
8,0.0,66.0,2.0,0.0,8.121212121212121,6.5,,165.98530762167124,2.25,
9,0.0,60.0,7.0,2.0,11.066666666666666,12.285714285714286,7.5,205.8955555555556,52.48979591836735,30.25
10,0.0,60.0,3.0,1.0,9.416666666666666,11.0,1.0,193.94305555555556,60.666666666666664,0.0
11,0.0,63.0,2.0,0.0,8.412698412698413,11.0,,205.13126732174354,100.0,
12,0.0,62.0,5.0,0.0,9.048387096774194,12.0,,151.94927159209158,68.8,
13,0.0,60.0,5.0,0.0,9.666666666666666,5.0,,202.6888888888889,21.2,
14,0.0,67.0,9.0,2.0,9.328358208955224,6.222222222222222,3.0,91.68322566273112,17.95061728395062,1.0
15,0.0,61.0,3.0,0.0,8.737704918032787,10.666666666666666,,182.06234883095937,38.22222222222222,
16,0.0,64.0,5.0,0.0,9.78125,7.2,,180.0771484375,6.16,
17,0.0,58.0,7.0,3.0,10.568965517241379,5.714285714285714,2.6666666666666665,199.96938168846611,10.77551020408163,2.8888888888888893
18,0.0,50.0,2.0,0.0,10.9,2.5,,223.53000000000003,0.25,
19,0.0,58.0,5.0,0.0,10.241379310344827,6.0,,179.11414982164092,21.6,
20,0.0,72.0,5.0,2.0,8.791666666666666,5.0,2.0,138.69270833333334,16.4,1.0
21,0.0,60.0,4.0,0.0,8.95,3.0,,169.7475,8.5,
22,0.0,58.0,5.0,0.0,10.0,8.8,,134.79310344827587,6.56,
23,0.0,59.0,5.0,0.0,9.423728813559322,6.0,,208.10858948577996,14.0,
24,0.0,65.0,4.0,1.0,8.523076923076923,16.5,6.0,145.08023668639055,226.25,0.0
25,0.0,61.0,6.0,0.0,9.704918032786885,6.833333333333333,,167.2244020424617,34.47222222222223,
26,0.0,65.0,8.0,1.0,9.892307692307693,11.125,1.0,183.72686390532544,21.859375,0.0
27,0.0,62.0,5.0,0.0,9.935483870967742,8.6,,199.51196670135272,29.439999999999998,
28,0.0,66.0,4.0,0.0,8.136363636363637,4.75,,130.23898071625342,3.6875,
29,0.0,56.0,3.0,1.0,9.428571428571429,4.666666666666667,5.0,173.81632653061223,20.22222222222222,0.0
30,0.0,62.0,6.0,1.0,10.129032258064516,3.6666666666666665,4.0,123.53173777315297,3.2222222222222228,0.0
31,0.0,62.0,4.0,1.0,10.580645161290322,10.0,6.0,205.21123829344435,62.0,0.0
32,0.0,57.0,4.0,0.0,9.964912280701755,10.25,,240.45490920283166,95.6875,
33,0.0,63.0,11.0,2.0,11.174603174603174,4.636363636363637,1.5,125.7631645250693,10.59504132231405,0.25
34,0.0,63.0,3.0,1.0,8.301587301587302,4.0,1.0,133.89317208364827,0.6666666666666666,0.0
35,0.0,58.0,2.0,0.0,9.844827586206897,11.5,,193.44143876337694,20.25,
36,0.0,60.0,3.0,1.0,9.5,5.0,1.0,167.08333333333334,8.666666666666666,0.0
37,0.0,68.0,6.0,3.0,9.073529411764707,4.0,3.6666666666666665,147.83282871972315,7.333333333333333,1.5555555555555554
38,0.0,66.0,7.0,0.0,8.681818181818182,7.142857142857143,,134.03512396694214,38.122448979591844,
39,0.0,57.0,8.0,2.0,12.017543859649123,9.75,6.0,200.9996922129886,76.6875,1.0
40,0.0,66.0,2.0,1.0,8.045454545454545,5.0,4.0,113.01308539944903,16.0,0.0
41,0.0,64.0,4.0,0.0,9.140625,10.75,,139.527099609375,43.6875,
42,0.0,68.0,3.0,3.0,8.338235294117647,10.333333333333334,7.0,118.78265570934258,68.22222222222221,4.666666666666667
43,0.0,53.0,4.0,0.0,11.452830188679245,3.5,,162.2477750089,4.25,
44,0.0,60.0,4.0,0.0,10.35,9.25,,177.66083333333333,36.6875,
45,0.0,58.0,3.0,0.0,9.931034482758621,5.0,,176.99524375743167,8.666666666666666,
46,0.0,63.0,4.0,1.0,9.047619047619047,8.25,2.0,169.02947845804988,27.1875,0.0
47,0.0,61.0,3.0,0.0,9.098360655737705,11.333333333333334,,131.59688255845202,67.55555555555556,
48,0.0,61.0,5.0,1.0,9.557377049180328,5.2,2.0,165.1975275463585,16.96,0.0
49,0.0,66.0,7.0,0.0,9.757575757575758,7.428571428571429,,199.48668503213958,65.95918367346938,
0,5.0,64.0,11.0,2.0,8.21965754055418,4.3304790468378505,0.15808343887329102,304.64421898324895,65.49104938750791,0.004496659048754736
1,5.0,73.0,16.0,3.0,8.569232513541229,3.2809450551867485,0.23922117551167807,138.2117575038989,29.65583947763894,0.03701760277614438
2,5.0,61.0,18.0,3.0,11.68193892939169,4.294942935928702,0.47410766283671063,189.94934205357222,23.882113239402024,0.1215601601082628
3,5.0,72.0,17.0,2.0,9.407350760444793,2.674836902495693,0.9305028915405273,141.68027265541735,19.07154907580144,0.23996614643783687
4,5.0,66.0,15.0,9.0,9.397669478799358,2.4645347197850547,0.5071655379401313,165.89450242390916,16.002519021978582,0.12458877541332275
5,5.0,74.0,17.0,5.0,9.205386217784238,2.3833678189445946,0.9241226196289063,120.17682845814876,11.903429818279132,0.4146163091148628
6,5.0,61.0,21.0,8.0,10.350026338212345,1.3867680912926084,0.8661699891090393,145.05559536283687,7.7048586034892805,1.4528993533387755
7,5.0,60.0,15.0,6.0,10.623030949756503,3.327461890426154,0.21048025290171304,181.87501163928346,13.268362906670909,0.08490030529488933
8,5.0,77.0,15.0,6.0,7.336372845358663,1.431728458404541,0.6149293581644694,146.46691689396258,6.125801687683786,0.0496786301398831
9,5.0,70.0,16.0,6.0,9.778413367005331,5.670293942093849,3.0975460211435952,189.3361457087453,54.986388747660015,27.60130085284227
10,5.0,71.0,13.0,9.0,8.18698456390223,3.4819796635554385,0.45738744735717773,174.0252138824545,37.8974126965362,0.127649434324111
11,5.0,79.0,15.0,11.0,7.137346505835841,1.9911790450414022,0.38564603978937323,174.05958238318956,22.02004017744841,0.10799268874347004
12,5.0,71.0,9.0,7.0,8.225624890814364,6.945441140068902,0.4355159487043108,137.8312701255375,69.07319686376134,0.2730534985369058
13,5.0,72.0,13.0,5.0,8.412717577069998,2.2970418746654806,0.6108317852020264,179.42679933398787,11.089779541175732,0.1953138541421231
14,5.0,75.0,17.0,7.0,8.797191195910175,3.683377765557345,1.1171215602329798,88.47497038122508,16.74898419722771,1.5060985376911382
15,5.0,71.0,24.0,8.0,7.767921562345935,1.883899301290512,0.4989062249660492,163.12003813515744,14.911551259932025,0.04105584247068261
16,5.0,71.0,17.0,4.0,9.085315595000562,2.303826588041642,0.13487213850021362,171.19639030611648,10.534215930578064,0.003419484776298276
17,5.0,67.0,16.0,9.0,9.501303811571491,2.9410037845373154,1.1600855456458197,182.62302247650274,11.972455923911031,1.8780747980630157
18,5.0,59.0,11.0,5.0,9.44811660569098,0.9028574065728621,0.4462813429534435,202.01702388271724,0.6798912112675194,0.1003869169865661
19,5.0,68.0,13.0,3.0,9.053954959134845,2.7425400087466607,0.3678671518961589,163.36206558021166,15.047046740578269,0.03151768266090787
20,5.0,84.0,15.0,4.0,7.983203221289885,2.313139057159424,1.3965651988983154,126.6562876576581,11.075171865144164,1.8283256720512213
21,5.0,69.0,17.0,1.0,8.084457495938176,1.1292180984335787,0.18198394775390625,153.60510852342202,3.162595222611391,0.0
22,5.0,67.0,17.0,4.0,9.288517088142793,3.125766116030076,0.3159451112151146,126.79589830232568,15.540154354967202,0.028081489953375616
