simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,9.0,0.0,0.0,25.333333333333332,,,1742.2222222222222,,
1,0.1,8.0,0.0,0.0,32.25,,,1869.9375,,
2,0.1,7.0,0.0,0.0,32.714285714285715,,,1255.0612244897961,,
3,0.1,8.0,0.0,0.0,35.0,,,348.75,,
4,0.1,9.0,0.0,0.0,23.666666666666668,,,1402.2222222222222,,
5,0.1,9.0,0.0,0.0,27.444444444444443,,,684.6913580246915,,
6,0.1,8.0,1.0,0.0,33.875,17.0,,869.109375,0.0,
7,0.1,9.0,0.0,0.0,15.222222222222221,,,569.9506172839506,,
8,0.1,9.0,1.0,0.0,25.444444444444443,14.0,,354.24691358024694,0.0,
9,0.1,8.0,0.0,0.0,17.0,,,464.25,,
10,0.1,7.0,0.0,0.0,27.714285714285715,,,1787.9183673469383,,
11,0.1,8.0,1.0,0.0,22.125,11.0,,299.359375,0.0,
12,0.1,8.0,0.0,0.0,26.5,,,650.75,,
13,0.1,9.0,0.0,0.0,30.333333333333332,,,886.6666666666666,,
14,0.1,9.0,0.0,0.0,25.77777777777778,,,901.2839506172841,,
15,0.1,9.0,0.0,0.0,23.0,,,1175.111111111111,,
16,0.1,9.0,0.0,0.0,24.77777777777778,,,461.7283950617284,,
17,0.1,9.0,0.0,0.0,21.22222222222222,,,378.61728395061726,,
18,0.1,9.0,0.0,0.0,27.0,,,622.0,,
19,0.1,8.0,0.0,0.0,15.375,,,209.734375,,
20,0.1,8.0,0.0,0.0,23.5,,,416.75,,
21,0.1,9.0,0.0,0.0,14.555555555555555,,,198.02469135802468,,
22,0.1,8.0,0.0,0.0,37.875,,,902.609375,,
23,0.1,8.0,0.0,0.0,22.875,,,317.359375,,
24,0.1,9.0,0.0,0.0,34.333333333333336,,,901.7777777777778,,
25,0.1,9.0,0.0,0.0,24.444444444444443,,,455.3580246913581,,
26,0.1,9.0,0.0,0.0,26.444444444444443,,,716.6913580246915,,
27,0.1,8.0,0.0,0.0,30.75,,,1047.9375,,
28,0.1,9.0,0.0,0.0,29.555555555555557,,,1437.8024691358025,,
29,0.1,9.0,0.0,0.0,20.88888888888889,,,396.09876543209884,,
30,0.1,9.0,0.0,0.0,26.88888888888889,,,1427.4320987654323,,
31,0.1,9.0,0.0,0.0,28.444444444444443,,,572.4691358024692,,
32,0.1,9.0,0.0,0.0,29.11111111111111,,,934.9876543209876,,
33,0.1,9.0,1.0,0.0,34.77777777777778,17.0,,671.5061728395062,0.0,
34,0.1,8.0,1.0,0.0,30.0,13.0,,1064.75,0.0,
35,0.1,9.0,0.0,0.0,22.11111111111111,,,1114.0987654320988,,
36,0.1,8.0,0.0,0.0,14.875,,,397.359375,,
37,0.1,9.0,1.0,0.0,30.77777777777778,8.0,,1522.8395061728397,0.0,
38,0.1,8.0,0.0,0.0,35.25,,,638.9375,,
39,0.1,9.0,0.0,0.0,25.77777777777778,,,754.8395061728395,,
40,0.1,9.0,0.0,0.0,20.77777777777778,,,250.6172839506173,,
41,0.1,9.0,1.0,0.0,35.333333333333336,16.0,,1126.888888888889,0.0,
42,0.1,9.0,0.0,0.0,26.22222222222222,,,690.172839506173,,
43,0.1,9.0,0.0,0.0,18.88888888888889,,,838.320987654321,,
44,0.1,9.0,2.0,0.0,27.555555555555557,15.5,,442.02469135802465,110.25,
45,0.1,9.0,0.0,0.0,23.88888888888889,,,1100.3209876543212,,
46,0.1,9.0,1.0,0.0,32.0,26.0,,436.0,0.0,
47,0.1,9.0,0.0,0.0,28.11111111111111,,,842.0987654320986,,
48,0.1,9.0,0.0,0.0,31.77777777777778,,,281.0617283950617,,
49,0.1,8.0,0.0,0.0,23.625,,,581.484375,,
0,0.2,17.0,2.0,0.0,21.941176470588236,8.0,,559.3494809688582,49.0,
1,0.2,16.0,0.0,0.0,19.0,,,1041.25,,
2,0.2,14.0,0.0,0.0,19.857142857142858,,,460.9795918367346,,
3,0.2,18.0,2.0,0.0,20.333333333333332,2.5,,321.77777777777777,2.25,
4,0.2,19.0,0.0,0.0,15.526315789473685,,,671.196675900277,,
5,0.2,17.0,0.0,0.0,18.235294117647058,,,499.00346020761253,,
6,0.2,17.0,1.0,0.0,20.529411764705884,11.0,,674.0138408304498,0.0,
7,0.2,16.0,1.0,0.0,20.0,2.0,,681.625,0.0,
8,0.2,18.0,1.0,0.0,19.5,14.0,,431.1388888888889,0.0,
9,0.2,17.0,0.0,0.0,10.941176470588236,,,234.64359861591697,,
10,0.2,16.0,0.0,0.0,19.0625,,,864.18359375,,
