simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,9.0,0.0,0.0,40.77777777777778,,,283.0617283950617,,
1,0.1,9.0,1.0,0.0,36.22222222222222,6.0,,369.0617283950617,0.0,
2,0.1,9.0,1.0,0.0,39.888888888888886,2.0,,205.65432098765433,0.0,
3,0.1,9.0,1.0,0.0,43.55555555555556,6.0,,89.35802469135803,0.0,
4,0.1,9.0,1.0,0.0,35.77777777777778,6.0,,205.28395061728395,0.0,
5,0.1,9.0,2.0,0.0,45.77777777777778,2.5,,47.28395061728395,2.25,
6,0.1,9.0,3.0,2.0,38.888888888888886,4.0,1.0,43.20987654320988,6.0,0.0
7,0.1,9.0,2.0,0.0,48.888888888888886,2.5,,44.32098765432099,0.25,
8,0.1,9.0,1.0,0.0,43.0,5.0,,48.0,0.0,
9,0.1,9.0,0.0,0.0,42.0,,,41.55555555555556,,
10,0.1,9.0,2.0,1.0,38.55555555555556,3.5,1.0,82.91358024691357,2.25,0.0
11,0.1,9.0,3.0,0.0,41.666666666666664,6.0,,56.0,8.666666666666666,
12,0.1,9.0,0.0,1.0,46.111111111111114,,1.0,32.76543209876543,,0.0
13,0.1,9.0,2.0,0.0,38.77777777777778,5.5,,49.95061728395062,6.25,
14,0.1,7.0,0.0,0.0,40.857142857142854,,,160.6938775510204,,
15,0.1,8.0,0.0,0.0,32.25,,,74.4375,,
16,0.1,9.0,1.0,0.0,43.44444444444444,3.0,,119.58024691358024,0.0,
17,0.1,9.0,1.0,0.0,31.444444444444443,1.0,,233.1358024691358,0.0,
18,0.1,9.0,2.0,0.0,40.22222222222222,2.5,,84.61728395061728,2.25,
19,0.1,9.0,2.0,0.0,45.666666666666664,2.5,,67.55555555555556,2.25,
20,0.1,9.0,2.0,0.0,38.0,3.0,,98.66666666666667,4.0,
21,0.1,9.0,1.0,0.0,25.444444444444443,2.0,,238.02469135802468,0.0,
22,0.1,9.0,1.0,0.0,42.333333333333336,1.0,,267.55555555555554,0.0,
23,0.1,9.0,4.0,1.0,36.0,5.0,4.0,117.55555555555556,13.5,0.0
24,0.1,9.0,1.0,0.0,38.55555555555556,1.0,,104.69135802469134,0.0,
25,0.1,9.0,1.0,0.0,38.0,5.0,,23.11111111111111,0.0,
26,0.1,9.0,2.0,0.0,48.888888888888886,3.0,,84.54320987654322,1.0,
27,0.1,8.0,1.0,0.0,47.5,6.0,,216.0,0.0,
28,0.1,9.0,0.0,0.0,29.22222222222222,,,355.7283950617284,,
29,0.1,9.0,1.0,0.0,35.44444444444444,4.0,,198.91358024691357,0.0,
30,0.1,9.0,2.0,0.0,45.0,6.0,,65.55555555555556,9.0,
31,0.1,9.0,1.0,1.0,40.111111111111114,4.0,3.0,101.20987654320987,0.0,0.0
32,0.1,9.0,3.0,0.0,48.111111111111114,4.666666666666667,,178.09876543209873,3.5555555555555554,
33,0.1,9.0,1.0,0.0,40.55555555555556,3.0,,52.46913580246914,0.0,
34,0.1,9.0,1.0,0.0,34.0,5.0,,114.44444444444444,0.0,
35,0.1,9.0,1.0,0.0,39.77777777777778,8.0,,323.7283950617284,0.0,
36,0.1,9.0,1.0,0.0,39.44444444444444,21.0,,35.80246913580247,0.0,
37,0.1,9.0,0.0,0.0,35.666666666666664,,,74.88888888888889,,
38,0.1,9.0,4.0,0.0,47.333333333333336,2.0,,140.22222222222223,1.5,
39,0.1,9.0,3.0,0.0,43.55555555555556,2.3333333333333335,,54.24691358024691,1.5555555555555556,
40,0.1,9.0,1.0,0.0,44.333333333333336,4.0,,55.111111111111114,0.0,
41,0.1,9.0,2.0,0.0,37.0,1.0,,269.1111111111111,0.0,
42,0.1,9.0,1.0,0.0,48.888888888888886,4.0,,24.543209876543212,0.0,
43,0.1,9.0,2.0,0.0,41.22222222222222,3.5,,127.95061728395063,6.25,
44,0.1,9.0,0.0,0.0,35.111111111111114,,,89.87654320987654,,
45,0.1,9.0,1.0,0.0,35.111111111111114,5.0,,121.65432098765433,0.0,
46,0.1,9.0,0.0,0.0,34.111111111111114,,,113.87654320987652,,
47,0.1,8.0,1.0,0.0,37.25,3.0,,174.4375,0.0,
48,0.1,9.0,0.0,0.0,40.111111111111114,,,274.32098765432096,,
49,0.1,9.0,1.0,0.0,42.111111111111114,3.0,,70.32098765432099,0.0,
0,0.2,18.0,5.0,1.0,32.94444444444444,7.0,1.0,144.3858024691358,22.0,0.0
1,0.2,17.0,5.0,0.0,34.8235294117647,4.4,,252.8512110726644,5.84,
2,0.2,17.0,7.0,0.0,34.705882352941174,2.5714285714285716,,281.8546712802768,2.816326530612245,
3,0.2,18.0,5.0,2.0,30.833333333333332,5.8,1.0,203.13888888888886,28.559999999999995,0.0
4,0.2,19.0,6.0,0.0,34.63157894736842,3.1666666666666665,,88.44321329639888,4.472222222222222,
5,0.2,18.0,7.0,0.0,35.0,4.0,,210.11111111111111,4.571428571428571,
6,0.2,18.0,5.0,1.0,33.05555555555556,4.6,2.0,72.27469135802468,5.84,0.0
7,0.2,19.0,9.0,0.0,33.68421052631579,4.333333333333333,,54.53185595567867,10.222222222222221,
8,0.2,17.0,10.0,1.0,35.529411764705884,4.7,1.0,168.60207612456747,4.210000000000001,0.0
9,0.2,19.0,7.0,1.0,33.526315789473685,7.714285714285714,1.0,127.19667590027701,7.061224489795918,0.0
10,0.2,19.0,8.0,1.0,32.578947368421055,4.125,2.0,58.2437673130194,6.359375,0.0
11,0.2,18.0,3.0,0.0,30.11111111111111,1.6666666666666667,,262.09876543209873,0.888888888888889,
12,0.2,19.0,7.0,0.0,37.1578947368421,7.142857142857143,,196.02770083102493,21.26530612244898,
13,0.2,17.0,5.0,0.0,32.35294117647059,6.2,,111.40484429065745,14.160000000000002,
14,0.2,15.0,3.0,0.0,41.6,4.333333333333333,,64.90666666666667,3.5555555555555554,
15,0.2,18.0,5.0,1.0,29.88888888888889,2.4,1.0,67.76543209876543,1.44,0.0
16,0.2,17.0,6.0,2.0,37.11764705882353,4.0,2.5,231.28027681660902,8.0,2.25
17,0.2,18.0,5.0,1.0,31.88888888888889,3.8,3.0,82.87654320987654,4.96,0.0
18,0.2,19.0,6.0,0.0,33.94736842105263,5.333333333333333,,79.20775623268699,12.888888888888888,
19,0.2,19.0,7.0,0.0,31.263157894736842,3.5714285714285716,,289.98337950138506,8.244897959183675,
20,0.2,18.0,4.0,0.0,30.72222222222222,6.0,,135.9783950617284,4.5,
21,0.2,18.0,9.0,0.0,35.166666666666664,4.333333333333333,,67.47222222222223,12.0,
22,0.2,16.0,8.0,0.0,42.375,3.625,,151.859375,8.734375,
23,0.2,19.0,6.0,0.0,31.68421052631579,3.6666666666666665,,31.058171745152357,9.222222222222223,
24,0.2,18.0,5.0,1.0,34.27777777777778,3.2,1.0,112.42283950617285,4.96,0.0
25,0.2,18.0,7.0,0.0,32.44444444444444,3.5714285714285716,,120.58024691358024,5.102040816326531,
26,0.2,17.0,5.0,2.0,36.76470588235294,3.6,1.0,89.70934256055364,5.840000000000001,0.0
27,0.2,18.0,4.0,0.0,29.555555555555557,1.5,,106.80246913580245,0.25,
28,0.2,18.0,3.0,0.0,28.77777777777778,6.0,,136.17283950617286,6.0,
29,0.2,19.0,5.0,4.0,36.36842105263158,4.2,1.75,142.75900277008307,5.360000000000001,0.6875
30,0.2,17.0,8.0,1.0,38.0,4.875,3.0,119.29411764705883,13.359375,0.0
31,0.2,16.0,5.0,1.0,39.0,5.0,3.0,237.25,7.6,0.0
32,0.2,18.0,10.0,1.0,43.0,4.4,1.0,137.0,7.640000000000001,0.0
33,0.2,19.0,8.0,2.0,32.78947368421053,3.25,2.0,220.90304709141273,7.9375,1.0
34,0.2,18.0,4.0,0.0,31.22222222222222,3.25,,75.17283950617283,8.1875,
35,0.2,19.0,3.0,1.0,31.105263157894736,8.0,2.0,316.8310249307479,26.0,0.0
36,0.2,15.0,5.0,1.0,31.0,3.6,3.0,108.26666666666667,13.840000000000003,0.0
37,0.2,18.0,6.0,0.0,32.77777777777778,2.8333333333333335,,130.61728395061726,2.4722222222222223,
38,0.2,18.0,4.0,0.0,34.55555555555556,3.25,,110.58024691358024,3.1875,
39,0.2,19.0,5.0,0.0,29.473684210526315,5.4,,286.7756232686981,6.640000000000001,
40,0.2,18.0,8.0,0.0,38.94444444444444,3.75,,113.60802469135803,13.6875,
41,0.2,17.0,6.0,0.0,29.294117647058822,5.833333333333333,,123.50173010380622,7.138888888888888,
42,0.2,19.0,6.0,1.0,37.1578947368421,5.666666666666667,3.0,158.0277008310249,21.555555555555554,0.0
43,0.2,17.0,6.0,0.0,37.64705882352941,3.6666666666666665,,104.93425605536332,7.555555555555557,
44,0.2,18.0,5.0,2.0,34.55555555555556,3.6,1.5,54.46913580246913,4.64,0.25
45,0.2,19.0,5.0,0.0,31.842105263157894,6.0,,102.7645429362881,54.4,
46,0.2,19.0,2.0,0.0,31.68421052631579,3.0,,131.37396121883657,0.0,
47,0.2,17.0,3.0,2.0,34.0,9.0,1.5,123.6470588235294,12.666666666666666,0.25
48,0.2,17.0,4.0,1.0,38.35294117647059,4.75,2.0,132.58131487889273,1.6875,0.0
49,0.2,17.0,5.0,0.0,36.588235294117645,6.4,,237.77162629757785,5.84,
0,0.3,24.0,8.0,2.0,26.416666666666668,4.5,2.0,112.32638888888887,9.5,0.0
1,0.3,25.0,10.0,3.0,29.04,4.3,2.3333333333333335,265.3184,8.010000000000002,1.5555555555555554
2,0.3,25.0,9.0,2.0,30.8,4.111111111111111,2.5,190.71999999999997,10.765432098765432,0.25
3,0.3,29.0,14.0,6.0,34.96551724137931,6.428571428571429,3.1666666666666665,77.20570749108205,19.816326530612248,9.472222222222223
4,0.3,28.0,9.0,1.0,28.964285714285715,6.333333333333333,2.0,105.89158163265304,16.444444444444443,0.0
5,0.3,26.0,8.0,0.0,32.96153846153846,4.25,,114.34467455621304,3.4375,
6,0.3,25.0,8.0,2.0,27.4,4.25,1.0,175.12,1.9375,0.0
7,0.3,28.0,7.0,1.0,34.0,5.428571428571429,1.0,159.28571428571428,10.244897959183673,0.0
8,0.3,26.0,11.0,0.0,30.307692307692307,4.909090909090909,,118.75147928994082,8.62809917355372,
9,0.3,25.0,13.0,3.0,33.48,4.0,1.6666666666666667,77.6096,8.76923076923077,0.2222222222222222
10,0.3,27.0,9.0,1.0,26.555555555555557,5.0,2.0,144.8395061728395,4.666666666666667,0.0
11,0.3,28.0,10.0,1.0,28.714285714285715,4.2,2.0,136.06122448979593,7.160000000000001,0.0
12,0.3,28.0,17.0,6.0,34.357142857142854,4.529411764705882,1.8333333333333333,156.80102040816328,5.307958477508651,0.47222222222222215
13,0.3,24.0,10.0,2.0,30.25,4.3,1.0,79.60416666666667,7.81,0.0
14,0.3,24.0,4.0,1.0,26.833333333333332,3.5,1.0,193.30555555555557,6.75,0.0
15,0.3,27.0,8.0,1.0,24.333333333333332,4.375,1.0,103.77777777777777,6.734375,0.0
16,0.3,28.0,15.0,2.0,32.82142857142857,6.666666666666667,2.5,128.2895408163265,11.288888888888888,2.25
17,0.3,27.0,7.0,3.0,28.962962962962962,4.0,2.0,93.81344307270236,3.4285714285714284,0.6666666666666666
18,0.3,28.0,12.0,5.0,32.17857142857143,4.75,2.8,87.07525510204083,15.6875,1.3599999999999999
19,0.3,23.0,7.0,0.0,29.304347826086957,6.857142857142857,,138.73345935727792,18.693877551020403,
20,0.3,26.0,7.0,1.0,32.19230769230769,3.4285714285714284,1.0,93.53994082840237,6.530612244897959,0.0
21,0.3,29.0,10.0,3.0,26.724137931034484,5.1,3.0,119.71700356718193,10.290000000000001,2.6666666666666665
22,0.3,28.0,14.0,6.0,39.607142857142854,6.928571428571429,3.5,114.95280612244899,32.20918367346939,5.583333333333333
23,0.3,25.0,8.0,0.0,28.88,4.125,,185.62559999999996,7.109375,
24,0.3,26.0,14.0,6.0,30.692307692307693,3.7142857142857144,1.8333333333333333,123.52071005917159,8.775510204081634,0.4722222222222223
25,0.3,28.0,7.0,0.0,23.142857142857142,3.142857142857143,,190.05102040816323,6.408163265306123,
26,0.3,27.0,16.0,5.0,34.51851851851852,5.4375,1.6,60.17558299039779,8.49609375,0.64
27,0.3,26.0,9.0,0.0,31.423076923076923,3.2222222222222223,,153.01331360946745,3.283950617283951,
28,0.3,26.0,6.0,0.0,28.576923076923077,4.833333333333333,,223.32100591715977,24.80555555555556,
29,0.3,26.0,11.0,6.0,33.46153846153846,3.090909090909091,1.8333333333333333,164.094674556213,7.1735537190082646,2.1388888888888893
30,0.3,27.0,6.0,1.0,32.7037037037037,4.0,2.0,225.83813443072705,2.6666666666666665,0.0
31,0.3,27.0,13.0,4.0,35.7037037037037,5.923076923076923,1.75,59.91220850480109,17.609467455621303,0.1875
32,0.3,25.0,7.0,4.0,33.68,6.714285714285714,2.25,93.6576,19.061224489795915,1.1875
33,0.3,28.0,5.0,2.0,26.535714285714285,5.2,3.5,159.32015306122452,5.36,2.25
34,0.3,25.0,12.0,2.0,29.24,3.0833333333333335,1.0,109.4624,6.909722222222221,0.0
35,0.3,28.0,13.0,7.0,33.67857142857143,6.0,2.4285714285714284,146.21811224489792,23.076923076923077,1.1020408163265307
36,0.3,27.0,10.0,6.0,28.555555555555557,5.8,2.3333333333333335,122.17283950617282,5.5600000000000005,1.5555555555555556
37,0.3,26.0,9.0,0.0,30.192307692307693,3.6666666666666665,,77.84763313609467,5.555555555555556,
38,0.3,27.0,11.0,1.0,33.81481481481482,5.454545454545454,3.0,123.70644718792866,12.793388429752065,0.0
39,0.3,27.0,11.0,0.0,31.925925925925927,4.545454545454546,,141.69821673525377,7.15702479338843,
40,0.3,25.0,11.0,6.0,33.52,4.363636363636363,1.5,179.28960000000004,4.049586776859504,0.25
41,0.3,29.0,12.0,3.0,28.344827586206897,4.583333333333333,1.6666666666666667,115.2604042806183,10.409722222222223,0.2222222222222222
42,0.3,29.0,12.0,3.0,31.75862068965517,4.333333333333333,1.6666666666666667,195.6313912009512,13.388888888888891,0.888888888888889
43,0.3,24.0,10.0,2.0,29.666666666666668,3.9,1.5,85.05555555555556,6.09,0.25
44,0.3,26.0,7.0,0.0,30.576923076923077,4.0,,95.93639053254438,10.0,
45,0.3,26.0,11.0,1.0,27.846153846153847,3.1818181818181817,4.0,153.5147928994083,2.148760330578512,0.0
46,0.3,28.0,7.0,1.0,26.464285714285715,2.2857142857142856,2.0,123.17729591836735,1.0612244897959184,0.0
47,0.3,27.0,10.0,0.0,30.925925925925927,5.0,,124.95747599451305,5.2,
48,0.3,26.0,11.0,1.0,34.34615384615385,6.363636363636363,1.0,111.45710059171599,12.958677685950413,0.0
49,0.3,25.0,12.0,0.0,33.4,3.8333333333333335,,198.08,9.138888888888886,
0,0.4,33.0,8.0,3.0,26.939393939393938,4.25,1.3333333333333333,176.84481175390263,10.9375,0.2222222222222222
1,0.4,36.0,16.0,0.0,25.333333333333332,4.0,,175.83333333333334,4.875,
2,0.4,33.0,13.0,3.0,28.575757575757574,4.461538461538462,1.0,133.57759412304867,7.017751479289941,0.0
3,0.4,35.0,13.0,4.0,28.457142857142856,5.076923076923077,1.75,98.24816326530612,18.840236686390533,0.1875
4,0.4,34.0,13.0,1.0,25.88235294117647,5.3076923076923075,8.0,208.51557093425606,13.136094674556215,0.0
5,0.4,34.0,18.0,4.0,28.529411764705884,3.388888888888889,1.25,152.89619377162632,4.90432098765432,0.1875
6,0.4,33.0,12.0,5.0,30.757575757575758,5.75,1.2,53.33516988062443,14.020833333333334,0.16
7,0.4,37.0,16.0,5.0,33.0,3.9375,2.6,117.51351351351352,11.05859375,1.8399999999999999
8,0.4,36.0,14.0,3.0,25.97222222222222,5.5,1.3333333333333333,119.36033950617282,8.821428571428571,0.2222222222222222
9,0.4,35.0,18.0,7.0,30.34285714285714,4.277777777777778,2.0,139.82530612244895,7.0895061728395055,1.7142857142857142
10,0.4,36.0,21.0,5.0,26.5,4.0,1.6,83.86111111111111,9.047619047619047,0.64
11,0.4,34.0,14.0,0.0,28.176470588235293,3.642857142857143,,129.32179930795849,13.94387755102041,
